name,depth mm,wtop mm,wbot mm,thk mm,lip mm,rad mm,lip ang deg,area cm2,wt kg/m,yb mm,ix cm4,sxtop cm3,sxbot cm3,rx mm,iy cm4,sy cm3,ry mm
100C10,102,51,51,1,12.5,5,90,2.16,1.75,51,36.38,7.13,7.13,41.08,7.55,2.19,18.71
100C12,102,51,51,1.2,12.5,5,90,2.58,2.09,51,43.25,8.48,8.48,40.98,8.92,2.59,18.61
100C15,102,51,51,1.5,13.5,5,90,3.22,2.59,51,53.74,10.54,10.54,40.81,11.24,3.29,18.67
100C19,102,51,51,1.9,14.5,5,90,4.09,3.27,51,67.32,13.2,13.2,40.58,14.24,4.21,18.66
100C24,102,51,51,2.4,16,5,90,5.18,4.11,51,83.98,16.47,16.47,40.27,18.09,5.42,18.69
150C10,152,64,64,1,14,5,90,2.95,2.36,76,107.81,14.19,14.19,60.5,15.66,3.46,23.06
150C12,152,64,64,1.2,14.5,5,90,3.53,2.86,76,128.96,16.97,16.97,60.4,18.81,4.17,23.07
150C15,152,64,64,1.5,15.5,5,90,4.43,3.56,76,160.68,21.14,21.14,60.25,23.68,5.29,23.13
150C19,152,64,64,1.9,16.5,5,90,5.61,4.49,76,202.15,26.6,26.6,60.04,30.03,6.75,23.14
150C24,152,64,64,2.4,18.5,5,90,7.12,5.64,76,254.34,33.47,33.47,59.76,38.61,8.79,23.28
200C15,200,76,76,1.5,16.9,5,90,5.55,4.46,100,343.47,34.35,34.35,78.68,40.69,7.43,27.08
200C19,200,76,76,1.9,20.4,5,90,7.12,5.7,100,439.19,43.92,43.92,78.51,54.3,10.11,27.61
200C24,200,76,76,2.4,21.6,5,90,9,7.17,100,551.03,55.1,55.1,78.25,68.53,12.84,27.6
200C30,200,76,76,3,23.1,5,90,11.25,9.1,100,683.3,68.33,68.33,77.93,85.65,16.17,27.59
240C15,240,76,76,1.5,24.4,5,90,6.37,5.13,120,548.26,45.69,45.69,92.74,49.78,9.09,27.94
240C19,240,76,76,1.9,25.4,5,90,8.07,6.46,120,691.4,57.62,57.62,92.53,63,11.56,27.93
240C24,240,76,76,2.4,26.6,5,90,10.2,8.13,120,868.23,72.35,72.35,92.27,79.41,14.66,27.9
240C30,240,76,76,3,28.1,5,90,12.75,10.28,120,1077.81,89.82,89.82,91.94,99.08,18.42,27.88
250C15,252,76,76,1.5,16.5,5,90,6.32,5.13,126,588.75,46.73,46.73,96.74,43.19,7.53,26.15
250C19,252,76,76,1.9,18.1,5,90,8.02,6.46,126,745.83,59.19,59.19,96.4,55.53,9.76,26.31
250C24,252,76,76,2.4,20.1,5,90,10.18,8.13,126,941.91,74.76,74.76,96.21,71.39,12.66,26.49
250C30,252,76,76,3,22.5,5,90,12.78,10.28,126,1176.56,93.38,93.38,95.97,90.95,16.32,26.68
300C19,300,96,96,1.9,24.1,5,90,9.92,7.98,150,1336.87,89.13,89.13,116.06,115.76,16.38,34.15
300C24,300,96,96,2.4,26.1,5,90,12.58,10.04,150,1687.56,112.5,112.5,115.84,148.06,21.11,34.31
300C30,300,96,96,3,28.5,5,90,15.78,12.52,150,2107.12,140.47,140.47,115.57,187.65,27,34.49
