,ASTM, American W Shapes to ASTM A6/A36,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,in x in x lb/ft,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
5,1,W40x12x359,534.5,1046,311.4,33,58.9,30,868.2,2.64,26.3,1130700,29960,40.8,6.63,21620,1925,25570,3126,0.866,19.5,73,5576,681
6,2,W40x12x327,486.6,1036.1,308.5,30,54.1,30,867.9,2.85,28.9,1021400,26720,40.6,6.57,19720,1732,23200,2800,0.867,21.1,64.4,4299,620
7,3,W40x12x294,436.9,1025.9,305.4,26.9,49,30,867.9,3.12,32.3,909900,23450,40.4,6.49,17740,1535,20760,2469,0.868,23.1,55.9,3185,557
8,4,W40x12x264,392.7,1016,303,24.4,43.9,30,868.2,3.45,35.6,807700,20500,40.2,6.4,15900,1353,18540,2168,0.868,25.5,48.4,2330,500
9,5,W40x12x235,349.4,1008.1,302,21.1,40,30,868.1,3.77,41.1,723100,18460,40.3,6.44,14350,1223,16590,1941,0.872,27.9,43.3,1718,445
10,6,W40x12x211,314.3,1000,300,19.1,35.9,30,868.2,4.18,45.5,644200,16230,40.1,6.37,12880,1082,14850,1713,0.872,30.7,37.7,1264,400
