,BF,Bulb Flats,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,,Width,Thickness,Mass,Bulb,Bulb,Bulb,Area of,Surface,Distance,Distance,Second moment,,Elastic,,Radius of,,Warping,Torsional
1,,,,per unit,Height,Width,Radius,Cross,,of Centre,of Centre,of area,,Modulus,,Gyration,,Constant,Constant
2,,,,length,,,,section,Area,of Gravity,of Gravity,Axis,Axis,Axis,Axis,Axis,Axis,,
3,,b,t,G,c,d,r1,F,U,Cx,Cy,x -x,y - y,x -x,y - y,x -x,y - y,H*,J
4,Home,mm,mm,kg/m,mm,mm,mm,cm2,m2/m,mm,mm,cm4,cm4,cm3,cm3,cm,cm,cm6 x 106,cm4
5,1,120,6,7.31,17,17.7,5,9.31,0.276,72,5.3,133,2.34,18.4,4.42,3.78,0.5,0.242,1.595
6,2,120,7,8.25,17,17.7,5,10.5,0.278,70.7,5.6,148,2.7,21,4.82,3.75,0.51,0.251,2.1
7,3,120,8,9.19,17,17.7,5,11.7,0.28,69.6,6,164,3.1,23.6,5.17,3.74,0.51,0.263,2.773
8,4,140,6.5,9.21,19,19.7,5.5,11.7,0.319,83.7,5.8,228,3.57,27.3,6.16,4.41,0.55,0.504,2.383
9,5,140,7,9.74,19,19.7,5.5,12.4,0.32,83.1,5.9,241,3.8,29,6.44,4.41,0.55,0.508,2.708
10,6,140,8,10.8,19,19.7,5.5,13.8,0.322,81.8,6.3,266,4.32,32.5,6.86,4.39,0.56,0.528,3.501
11,7,140,10,13,19,19.7,5.5,16.6,0.326,79.2,7,316,5.56,39.9,7.94,4.36,0.58,0.575,5.752
12,8,160,7,11.4,22,22.2,6,14.6,0.365,96.6,6.4,373,5.86,38.6,9.16,5.05,0.63,1.12,3.681
13,9,160,8,12.7,22,22.2,6,16.2,0.367,94.9,6.8,411,6.55,43.3,9.63,5.04,0.64,1.16,4.6
14,10,160,9,14,22,22.2,6,17.8,0.369,93.6,7.1,448,7.32,47.9,10.3,5.02,0.64,1.2,5.763
15,11,160,11.5,17.3,22,22.2,6,21.8,0.374,91.1,8.1,544,9.62,59.8,11.9,5,0.66,1.31,9.936
16,12,180,8,14.8,25,25.5,7,18.9,0.411,109,7.4,609,9.9,55.9,13.4,5.68,0.72,2.45,6.352
17,13,180,9,16.2,25,25.5,7,20.7,0.413,107,7.7,665,10.93,62.1,14.2,5.67,0.73,2.51,7.686
