,CastUB,Castellated Beams cut from Universal Beams,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,,Section Designation,,Mass,Depth,Serial,Depth,Width,Thickness,Thickness,Root,Depth,Pitch,Net second moment,,Net Radius,,Net Elastic,,Elastic Modulus,,Net Plastic,,Net,Net,Net,Net,Net
1,,,,per,of,Depth,of,of,of,of,Radius,between,1.08xDs,of Area,,of Gyration,,Modulus,,of Tee,,Modulus,,Buckling,Torsional,Warping,Torsional,Area
2,,Original,Castellated,Metre,original,,Section,Section,Web,Flange,,fillets,,,,,,,,,,,,Parameter,Index,Constant,Constant,
3,,,,,D,Ds,Dc,B,t,T,r,dc,,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Flange,Toe,Axis x-x,Axis y-y,u,x,H,J,An
4,Home, , ,kg/m,mm, ,mm,mm,mm,mm,mm,mm,mm,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
5,1,914x419x388,1371x419x388,388,921,914,1378,420.5,21.4,36.6,24.1,1256.6,987.1,1665800,45400,64.8,10.7,24180,2159,1376,314,25610,3289,0.975,38,204,1585,396
6,2,914x419x343,1371x419x343,343.3,911.8,914,1368.8,418.5,19.4,32,24.1,1256.6,987.1,1453400,39130,64.6,10.6,21240,1870,1253,276,22430,2847,0.974,43,175,1082,349
7,3,914x305x289,1371x305x289,289.1,926.6,914,1383.6,307.7,19.5,32,19.1,1281.4,987.1,1162300,15570,64.5,7.47,16800,1012,1077,288,17930,1558,0.972,44.8,71.1,813,279
8,4,914x305x253,1371x305x253,253.4,918.4,914,1375.4,305.5,17.3,27.9,19.1,1281.4,987.1,1008600,13280,64.3,7.38,14670,869,964,249,15610,1336,0.972,50.9,60.3,547,244
9,5,914x305x224,1371x305x224,224.2,910.4,914,1367.4,304.1,15.9,23.9,19.1,1281.4,987.1,872800,11220,64,7.26,12770,738,863,223,13570,1135,0.971,58.4,50.6,361,213
10,6,914x305x201,1371x305x201,200.9,903,914,1360,303.3,15.1,20.2,19.1,1281.4,987.1,756500,9410,63.6,7.1,11120,620,772,205,11830,956,0.969,67.1,42.2,239,187
11,7,838x292x226,1257x292x226,226.5,850.9,838,1269.9,293.8,16.1,26.8,17.8,1180.7,905,780900,11350,59.4,7.16,12300,772,811,204,13080,1184,0.972,49,43.8,455,221
12,8,838x292x194,1257x292x194,193.8,840.7,838,1259.7,292.4,14.7,21.7,17.8,1180.7,905,644600,9055,59,6.99,10230,619,704,179,10880,951,0.97,59,34.7,261,185
13,9,838x292x176,1257x292x176,175.9,834.9,838,1253.9,291.7,14,18.8,17.8,1180.7,905,569500,7789,58.7,6.86,9084,534,639,166,9658,821,0.969,66.4,29.7,183,165
14,10,762x267x197,1143x267x197,196.8,769.8,762,1150.8,268,15.6,25.4,16.5,1067,823,553600,8163,53.8,6.53,9622,609,620,159,10240,935,0.972,46.7,25.8,356,191
15,11,762x267x173,1143x267x173,173,762.2,762,1143.2,266.7,14.3,21.6,16.5,1067,823,475300,6840,53.5,6.42,8314,513,554,141,8839,788,0.971,53.9,21.5,230,166
16,12,762x267x147,1143x267x147,146.9,754,762,1135,265.2,12.8,17.5,16.5,1067,823,391600,5449,53.2,6.27,6900,411,476,122,7328,632,0.97,64.7,17,132,138
17,13,762x267x134,1143x267x134,133.9,750,762,1131,264.4,12,15.5,16.5,1067,823,350800,4782,53,6.19,6204,362,435,113,6587,556,0.969,71.6,14.9,97,125
18,14,686x254x170,1029x254x170,170.2,692.9,686,1035.9,255.8,14.5,23.7,15.2,958.1,740.9,393100,6622,48.5,6.3,7590,518,480,120,8070,793,0.973,44.8,17,273,167
19,15,686x254x152,1029x254x152,152.4,687.5,686,1030.5,254.5,13.2,21,15.2,958.1,740.9,347900,5777,48.4,6.23,6752,454,438,107,7164,695,0.973,50.1,14.7,193,149
20,16,686x254x140,1029x254x140,140.1,683.5,686,1026.5,253.7,12.4,19,15.2,958.1,740.9,315900,5178,48.2,6.17,6155,408,407,98.6,6524,625,0.972,54.8,13.1,147,136
21,17,686x254x125,1029x254x125,125.2,677.9,686,1020.9,253,11.7,16.2,15.2,958.1,740.9,274400,4378,47.9,6.06,5375,346,367,90.4,5697,531,0.971,62.8,11,97.9,119
