,CastUC,Castellated Beams cut from Universal Columns,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,,Section Designation,,Mass,Depth,Serial,Depth,Width,Thickness,Thickness,Root,Depth,Pitch,Net second moment,,Net Radius,,Net Elastic,,Elastic Modulus,,Net Plastic,,Net,Net,Net,Net,Net
1,,,,per,of,Depth,of,of,of,of,Radius,between,1.08xDs,of Area,,of Gyration,,Modulus,,of Tee,,Modulus,,Buckling,Torsional,Warping,Torsional,Area
2,,Original,Castellated,Metre,original,,Section,Section,Web,Flange,,fillets,,,,,,,,,,,,Parameter,Index,Constant,Constant,
3,,,,,D,Ds,Dc,B,t,T,r,dc,,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Flange,Toe,Axis x-x,Axis y-y,u,x,H,J,An
4,Home, , ,kg/m,mm, ,mm,mm,mm,mm,mm,mm,mm,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
5,1,356x406x634,534x406x634,633.9,474.6,381,665.1,424,47.6,77,15.2,480.7,411.5,600100,97950,28.9,11.7,18050,4620,706,325,20630,7000,0.946,7.8,84.7,13040,717
6,2,356x406x551,534x406x551,551,455.6,381,646.1,418.5,42.1,67.5,15.2,480.7,411.5,503700,82550,28.5,11.5,15590,3945,573,245,17620,5974,0.946,8.72,69.1,8767,622
7,3,356x406x467,534x406x467,467,436.6,381,627.1,412.2,35.8,58,15.2,480.7,411.5,413100,67760,28,11.3,13170,3288,452,177,14690,4973,0.947,9.95,54.9,5517,527
8,4,356x406x393,534x406x393,393,419,381,609.5,407,30.6,49.2,15.2,480.7,411.5,336300,55320,27.6,11.2,11040,2719,358,127,12160,4109,0.947,11.5,43.4,3363,442
9,5,356x406x340,534x406x340,339.9,406.4,381,596.9,403,26.6,42.9,15.2,480.7,411.5,284400,46820,27.3,11.1,9530,2324,298,96.8,10400,3510,0.947,13,35.9,2223,382
10,6,356x406x287,534x406x287,287.1,393.6,381,584.1,399,22.6,36.5,15.2,480.7,411.5,234700,38660,27,10.9,8035,1938,244,71.4,8681,2925,0.948,15.1,29,1367,323
11,7,356x406x235,534x406x235,235.1,381,381,571.5,394.8,18.4,30.2,15.2,480.7,411.5,188100,30980,26.7,10.8,6583,1570,195,50.4,7038,2367,0.948,17.9,22.7,772,264
12,8,356x368x202,534x368x202,201.9,374.6,356,552.6,374.7,16.5,27,15.2,468.2,384.5,151900,23680,25.8,10.2,5498,1264,196,46.2,5869,1907,0.949,19.5,16.4,531,228
13,9,356x368x177,534x368x177,177,368.2,356,546.2,372.6,14.4,23.8,15.2,468.2,384.5,131700,20520,25.7,10.1,4824,1102,174,37.7,5120,1662,0.949,21.9,14,364,200
14,10,356x368x153,534x368x153,152.9,362,356,540,370.5,12.3,20.7,15.2,468.2,384.5,112700,17550,25.5,10.1,4176,947,153,30.2,4406,1428,0.95,25,11.8,239,173
15,11,356x368x129,534x368x129,129,355.6,356,533.6,368.6,10.4,17.5,15.2,468.2,384.5,93970,14610,25.4,10,3522,793,134,23.8,3695,1194,0.95,29.2,9.73,146,146
16,12,305x305x283,458x305x283,282.9,365.3,305,517.8,322.2,26.8,44.1,15.2,399.2,329.4,172100,24610,23.2,8.78,6649,1528,256,90.4,7386,2315,0.95,10.9,13.8,1936,320
17,13,305x305x240,458x305x240,240,352.5,305,505,318.4,23,37.7,15.2,399.2,329.4,142000,20300,22.9,8.66,5623,1275,210,67.6,6178,1930,0.951,12.5,11.1,1209,271
18,14,305x305x198,458x305x198,198.1,339.9,305,492.4,314.5,19.1,31.4,15.2,399.2,329.4,114100,16290,22.6,8.54,4634,1036,170,48.7,5032,1567,0.951,14.8,8.66,699,223
19,15,305x305x158,458x305x158,158.1,327.1,305,479.6,311.2,15.8,25,15.2,399.2,329.4,88060,12560,22.3,8.42,3672,807,137,34.4,3940,1221,0.952,18.1,6.49,358,177
20,16,305x305x137,458x305x137,136.9,320.5,305,473,309.2,13.8,21.7,15.2,399.2,329.4,75120,10700,22.1,8.35,3176,692,120,27.8,3386,1045,0.952,20.6,5.45,236,153
