,E Angles,Equal Angles in accordance with BS4848: Part 4,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,Designation,Mass,Root,Toe,Distance of,Second Moment,,,Radius,,,Elastic,Area
1,,,per,radius,Radius,centre of,of Area,,,of Gyration,,,Modulus,of
2,,D x B x t,metre,,,gravity,Axis,Axis,Axis,Axis,Axis,Axis,Axis,Section
3,,,,r1,r2,Cx & Cy,"x-x, y-y",u-u,v-v,"x-x, y-y",u-u,v-v,"x-x, y-y",A
4,Home,mm x mm x mm,kg/m,mm,mm,cm,cm4,cm4,cm4,cm,cm,cm,cm3,cm2
5,1,200x200x24,71.3,18,4.8,5.85,3356,5322,1391,6.08,7.65,3.91,237,90.8
6,2,200x200x20,60.1,18,4.8,5.7,2877,4569,1185,6.13,7.72,3.93,201,76.6
7,3,200x200x18,54.4,18,4.8,5.62,2627,4174,1080,6.15,7.76,3.95,183,69.4
8,4,200x200x16,48.7,18,4.8,5.54,2369,3765,973,6.18,7.79,3.96,164,62
9,5,150x150x18,40.2,16,4.8,4.38,1060,1680,440,4.55,5.73,2.93,99.8,51.2
10,6,150x150x15,33.9,16,4.8,4.26,909,1442,375,4.59,5.78,2.95,84.6,43.2
11,7,150x150x12,27.5,16,4.8,4.14,748,1187,308,4.62,5.82,2.97,68.9,35
12,8,150x150x10,23.1,16,4.8,4.06,635,1008,262,4.64,5.85,2.98,58,29.5
13,9,120x120x15,26.7,13,4.8,3.52,448,710,186,3.63,4.57,2.34,52.8,34
14,10,120x120x12,21.7,13,4.8,3.41,371,588,153,3.66,4.62,2.35,43.1,27.6
15,11,120x120x10,18.3,13,4.8,3.32,316,502,130,3.69,4.64,2.37,36.4,23.3
16,12,120x120x8,14.8,13,4.8,3.24,259,411,107,3.71,4.67,2.38,29.5,18.8
17,13,100x100x15,21.9,12,4.8,3.02,250,395,105,2.99,3.76,1.94,35.8,28
18,14,100x100x12,17.9,12,4.8,2.91,208,330,86.4,3.02,3.81,1.95,29.3,22.8
19,15,100x100x10,15.1,12,4.8,2.83,178,283,73.7,3.05,3.84,1.96,24.8,19.2
20,16,100x100x8,12.2,12,4.8,2.75,146,232,60.5,3.07,3.86,1.97,20.2,15.6
21,17,90x90x12,16,11,4.8,2.66,149,235,62,2.7,3.4,1.75,23.5,20.3
22,18,90x90x10,13.5,11,4.8,2.58,128,202,52.9,2.73,3.43,1.76,19.9,17.2
23,19,90x90x8,10.9,11,4.8,2.5,105,167,43.4,2.75,3.46,1.77,16.2,13.9
24,20,90x90x7,9.6,11,4.8,2.46,93.2,148,38.6,2.76,3.47,1.77,14.2,12.3
25,21,90x90x6,8.3,11,4.8,2.41,81,128,33.6,2.76,3.48,1.78,12.3,10.6
26,22,80x80x10+,11.9,10,4.8,2.33,87.7,139,36.5,2.4,3.03,1.55,15.5,15.2
27,23,80x80x8+,9.7,10,4.8,2.25,72.4,115,30.1,2.42,3.05,1.56,12.6,12.3
28,24,80x80x6+,7.4,10,4.8,2.16,56,88.7,23.3,2.44,3.07,1.58,9.6,9.4
29,25,70x70x10+,10.3,9,2.4,2.08,57.1,90.3,24,2.08,2.62,1.35,11.6,13.2
30,26,70x70x8+,8.4,9,2.4,2,47.4,75,19.7,2.1,2.65,1.36,9.49,10.7
31,27,70x70x6+,6.4,9,2.4,1.92,36.8,58.2,15.4,2.12,2.67,1.37,7.24,8.2
32,28,60x60x8+,7.2,8,2.4,1.76,28.9,45.7,12.1,1.78,2.24,1.15,6.82,9.12
33,29,60x60x6+,5.5,8,2.4,1.67,22.6,35.7,9.45,1.8,2.26,1.16,5.21,7
34,30,60x60x5+,4.6,8,2.4,1.62,19.2,30.2,8.06,1.8,2.26,1.17,4.37,5.91
35,31,60x60x10+,8.8,8,2.4,1.84,34.7,54.7,14.7,1.76,2.21,1.15,8.33,11.2
36,32,50x50x8+,5.9,7,2.4,1.51,16,25.3,6.78,1.46,1.83,0.949,4.59,7.52
37,33,50x50x6+,4.6,7,2.4,1.42,12.6,19.9,5.28,1.47,1.85,0.954,3.52,5.8
38,34,50x50x5+,3.9,7,2.4,1.37,10.7,16.9,4.51,1.48,1.86,0.958,2.95,4.91
39,35,50x50x4+,3.1,7,2.4,1.32,8.72,13.7,3.71,1.48,1.85,0.963,2.37,4
40,36,50x50x3+,2.4,7,2.4,1.25,6.6,10.3,2.88,1.47,1.83,0.968,1.76,3.07
41,37,45x45x6+,4.1,7,2.4,1.3,8.95,14.1,3.76,1.31,1.65,0.851,2.8,5.2
42,38,45x45x5+,3.5,7,2.4,1.25,7.63,12,3.21,1.32,1.65,0.853,2.35,4.41
43,39,45x45x4+,2.8,7,2.4,1.2,6.22,9.79,2.65,1.31,1.65,0.857,1.88,3.6
44,40,45x45x3+,2.2,7,2.4,1.13,4.71,7.37,2.05,1.3,1.63,0.86,1.4,2.77
45,41,40x40x6+,3.6,6,2.4,1.18,6.1,9.63,2.57,1.15,1.45,0.747,2.16,4.6
46,42,40x40x5+,3.1,6,2.4,1.13,5.21,8.22,2.19,1.15,1.45,0.748,1.81,3.91
47,43,40x40x4+,2.5,6,2.4,1.08,4.25,6.7,1.8,1.15,1.45,0.75,1.45,3.2
48,44,40x40x3+,1.9,6,2.4,1.01,3.22,5.04,1.4,1.14,1.43,0.752,1.08,2.47
49,45,30x30x5+,2.3,5,2.4,0.89,2.02,3.19,0.846,0.832,1.05,0.539,0.956,2.91
50,46,30x30x4+,1.9,5,2.4,0.84,1.65,2.61,0.691,0.829,1.04,0.536,0.764,2.4
51,47,30x30x3+,1.5,5,2.4,0.78,1.25,1.96,0.53,0.816,1.02,0.532,0.561,1.87
52,48,25x25x5+,1.9,3.5,2.4,0.78,1.09,1.72,0.462,0.673,0.846,0.438,0.634,2.41
53,49,25x25x4+,1.6,3.5,2.4,0.73,0.894,1.42,0.372,0.668,0.841,0.431,0.504,2
54,50,25x25x3+,1.2,3.5,2.4,0.67,0.672,1.06,0.281,0.654,0.823,0.423,0.367,1.57
