,HE,European Wide Flange Beams in Accordance with Euronorm 53-62,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
5,1,HE 100 AA,12.2,91,100,4.2,5.5,12,56,9.09,13.3,237,92.1,3.89,2.43,52,18.4,58.4,28.4,0.827,12.5,0.002,2.33,15.6
6,2,HE 100 A,16.7,96,100,5,8,12,56,6.25,11.2,349,134,4.06,2.51,72.8,26.8,83,41.1,0.835,9.99,0.003,5.28,21.2
7,3,HE 100 B,20.4,100,100,6,10,12,56,5,9.33,450,167,4.16,2.53,89.9,33.5,104,51.4,0.84,8.51,0.003,9.33,26
8,4,HE 120 AA,14.6,109,120,4.2,5.5,12,74,10.9,17.6,413,159,4.72,2.93,75.8,26.5,84.1,40.6,0.829,15.7,0.004,2.59,18.6
9,5,HE 120 A,19.9,114,120,5,8,12,74,7.5,14.8,606,231,4.89,3.02,106,38.5,119,58.9,0.837,12.3,0.006,6.04,25.3
10,6,HE 120 B,26.7,120,120,6.5,11,12,74,5.45,11.4,864,318,5.04,3.06,144,52.9,165,81,0.842,9.64,0.009,13.9,34
11,7,HE 140 AA,18.1,128,140,4.3,6,12,92,11.7,21.4,719,275,5.59,3.45,112,39.3,124,59.9,0.832,17.9,0.01,3.43,23
