,IPE,European Narrow flange beams to Euronorm 89,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
5,1,IPE 100A,6.9,98,55,3.6,4.7,7,74.6,5.85,20.7,141,13.1,4.01,1.22,28.8,4.77,33,7.54,0.876,18.4,0,0.727,8.78
6,2,IPE 100,8.1,100,55,4.1,5.7,7,74.6,4.82,18.2,171,15.9,4.07,1.24,34.2,5.79,39.4,9.15,0.878,15.9,0,1.16,10.3
7,3,IPE 120 A,8.7,117.6,64,3.8,5.1,7,93.4,6.27,24.6,257,22.4,4.83,1.42,43.8,7,49.9,11,0.876,21.2,0.001,0.996,11
8,4,IPE 120,10.4,120,64,4.4,6.3,7,93.4,5.08,21.2,318,27.7,4.9,1.45,53,8.65,60.7,13.6,0.879,18,0.001,1.69,13.2
9,5,IPE 140 A,10.5,137.4,73,3.8,5.6,7,112.2,6.52,29.5,435,36.4,5.7,1.65,63.3,9.98,71.6,15.5,0.881,23.6,0.002,1.34,13.4
10,6,IPE 140,12.9,140,73,4.7,6.9,7,112.2,5.29,23.9,541,44.9,5.74,1.65,77.3,12.3,88.3,19.2,0.88,19.7,0.002,2.4,16.4
