,PFC,Parallel Flange Channels,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,Designation,Mass,Depth,Width,Thickness,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Elastic,Plastic,,Plastic,Buckling,Torsion,Warping,Torsion,Area
1,,,per,of,of,of,,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,,Modulus,,,Param,Index,Const,Const,of
2,,,metre,Section,Section,Web,Flange,,fillets,Flange,Web,Axis,Axis,Axis,Axis,Axis,Axis,,Axis,Axis,,,,,,Section
3,,,,D,B,t,T,r,d,,,x-x,y-y,x-x,y-y,x-x,y-y,cy,x-x,y-y,ceq,u,x,H,J,A
4,Home, ,Kg/m,mm,mm,mm,mm,mm,mm,b/T,d/t,cm4,cm4,cm,cm,cm3,cm3,cm,cm3,cm3,cm, , ,dm6,cm4,cm2
5,1,430x100x64,64.4,430,100,11,19,15,362,5.26,32.9,21940,722,16.3,2.97,1020,97.9,2.62,1222,176,0.954,0.917,22.5,0.218686,63,82.1
6,2,380x100x54,54,380,100,9.5,17.5,15,315,5.71,33.2,15030,643,14.8,3.06,791,89.2,2.79,933,161,0.904,0.932,21.2,0.150614,45.7,68.7
7,3,300x100x46,45.5,300,100,9,16.5,15,237,6.06,26.3,8229,568,11.9,3.13,549,81.7,3.05,641,148,1.31,0.944,17,0.081339,36.8,58
8,4,300x90x41,41.4,300,90,9,15.5,12,245,5.81,27.2,7218,404,11.7,2.77,481,63.1,2.6,568,114,0.879,0.934,18.4,0.058217,28.8,52.7
9,5,260x90x35,34.8,260,90,8,14,12,208,6.43,26,4728,353,10.3,2.82,364,56.3,2.74,425,102,1.14,0.942,17.2,0.03793,20.6,44.4
10,6,260x75x28,27.6,260,75,7,12,12,212,6.25,30.3,3619,185,10.1,2.3,278,34.4,2.1,328,62,0.676,0.932,20.5,0.020325,11.7,35.1
11,7,230x90x32,32.2,230,90,7.5,14,12,178,6.43,23.7,3518,334,9.27,2.86,306,55,2.92,355,98.9,1.69,0.95,15.1,0.027827,19.3,41
12,8,230x75x26,25.7,230,75,6.5,12.5,12,181,6,27.8,2748,181,9.17,2.35,239,34.8,2.3,278,63.2,1.03,0.947,17.3,0.015262,11.8,32.7
13,9,200x90x30,29.7,200,90,7,14,12,148,6.43,21.1,2523,314,8.16,2.88,252,53.4,3.12,291,94.5,2.24,0.954,12.9,0.019632,18.3,37.9
14,10,200x75x23,23.4,200,75,6,12.5,12,151,6,25.2,1963,170,8.11,2.39,196,33.8,2.48,227,60.6,1.53,0.956,14.8,0.010711,11.1,29.9
15,11,180x90x26,26.1,180,90,6.5,12.5,12,131,7.2,20.2,1817,277,7.4,2.89,202,47.4,3.17,232,83.5,2.36,0.949,12.8,0.014121,13.3,33.2
16,12,180x75x20,20.3,180,75,6,10.5,12,135,7.14,22.5,1370,146,7.27,2.38,152,28.8,2.41,176,51.8,1.34,0.946,15.3,0.007523,7.34,25.9
17,13,150x90x24,23.9,150,90,6.5,12,12,102,7.5,15.7,1162,253,6.18,2.89,155,44.4,3.3,179,76.9,2.66,0.936,10.8,0.0089,11.8,30.4
18,14,150x75x18,17.9,150,75,5.5,10,12,106,7.5,19.3,861,131,6.15,2.4,115,26.6,2.58,132,47.2,1.81,0.946,13.1,0.004653,6.1,22.8
19,15,125x65x15,14.8,125,65,5.5,9.5,12,82,6.84,14.9,483,80,5.07,2.06,77.3,18.8,2.25,89.9,33.2,1.55,0.942,11.1,0.001939,4.72,18.8
20,16,100x50x10,10.2,100,50,5,8.5,9,65,5.88,13,208,32.3,4,1.58,41.5,9.89,1.73,48.9,17.5,1.18,0.942,10,0.000492,2.53,13
