,RHS HF,Hot finished Rectangular Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,UK Edition,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,,Designation,,Mass Per,Area,Ratios for,,Second Moment,,Radius of Gyration,,Elastic Modulus,,Plastic Modulus,,Torsional,,Surface,Approx
1,,Size,Thickness,metre,of,Local Buckling,,of Area,,Gyration,,Modulus,,Modulus,,Constants,,Area,Length
2,,,,,Section,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,of,per
3,,D x B,t, ,A,b/t,d/t,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm4,cm3,m2/m,m
5,1,50x30,2.5,2.89,3.68,9,17,11.8,5.22,1.79,1.19,4.73,3.48,5.92,4.11,11.7,5.73,0.154,346
6,2,50x30,3,3.41,4.34,7,13.7,13.6,5.94,1.77,1.17,5.43,3.96,6.88,4.76,13.5,6.51,0.152,293
7,3,50x30,3.2,3.61,4.6,6.37,12.6,14.2,6.2,1.76,1.16,5.68,4.13,7.25,5,14.2,6.8,0.152,277
8,4,50x30,3.6,4.01,5.1,5.33,10.9,15.4,6.67,1.74,1.14,6.16,4.45,7.94,5.46,15.4,7.31,0.151,250
9,5,50x30,4,4.39,5.59,4.5,9.5,16.5,7.08,1.72,1.13,6.6,4.72,8.59,5.88,16.6,7.77,0.15,228
10,6,50x30,5,5.28,6.73,3,7,18.7,7.89,1.67,1.08,7.49,5.26,10,6.8,19,8.67,0.147,189
11,7,60x40,2.5,3.68,4.68,13,21,22.8,12.1,2.21,1.6,7.61,6.03,9.32,7.02,25.1,9.73,0.194,272
12,8,60x40,3,4.35,5.54,10.3,17,26.5,13.9,2.18,1.58,8.82,6.95,10.9,8.19,29.2,11.2,0.192,230
13,9,60x40,3.2,4.62,5.88,9.5,15.7,27.8,14.6,2.18,1.57,9.27,7.29,11.5,8.64,30.8,11.7,0.192,217
