,RSC,Channels to BS 4: Part 1: 1993,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,,,Mass,Depth,Width,Thickness,,Radius,,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,Section,per,of,of,of,,of,,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,designation,unit,Section,section,Web,Flange,Root,Toe,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,,length,h,b,s,t,r1,r2,d,b/t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,Kg,mm,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,,,dm6,cm4,cm2
5,1,432x102x65,65.5,431.8,101.6,12.2,16.8,15.2,4.8,362.4,6.05,29.7,21370,627,16,2.74,990,79.9,1205,153,0.875,24.5,0.216,61.5,83.4
6,2,381x102x55,55,381,101.6,10.4,16.3,15.2,4.8,312.4,6.23,30,14870,579,14.6,2.87,781,75.7,931,144,0.895,22.6,0.153,46.4,70.1
7,3,305x102x46,46.2,304.8,101.6,10.2,14.8,15.2,4.8,239.2,6.86,23.5,8208,499,11.8,2.91,539,66.5,638,128,0.899,18.8,0.0842,35.9,58.9
8,4,305x89x42,41.8,304.8,88.9,10.2,13.7,13.7,3.2,245.4,6.49,24.1,7078,326,11.5,2.47,464,48.6,559,92.9,0.887,20.3,0.0552,28.1,53.3
9,5,254x89x36,35.7,254,88.9,9.1,13.6,13.7,3.2,194.7,6.54,21.4,4445,302,9.89,2.58,350,46.7,414,89.6,0.906,17,0.0347,23.2,45.4
10,6,254x76x28,28.2,254,76.2,8.1,10.9,12.2,3.2,203.8,6.99,25.2,3355,162,9.67,2.12,264,28.1,316,53.9,0.886,21.2,0.0194,12.3,35.9
11,7,229x89x33,32.7,228.6,88.9,8.6,13.3,13.7,3.2,169.8,6.68,19.7,3383,285,9.01,2.61,296,44.8,348,86.3,0.912,15.5,0.0263,20.6,41.6
12,8,229x76x26,26.1,228.6,76.2,7.6,11.2,12.2,3.2,178,6.8,23.4,2615,159,8.87,2.19,229,28.3,271,54.5,0.901,18.7,0.0151,11.6,33.2
13,9,203x89x30,29.8,203.2,88.9,8.1,12.9,13.7,3.2,145.2,6.89,17.9,2492,265,8.11,2.64,245,42.4,287,81.7,0.916,14,0.0192,18.1,37.9
14,10,203x76x24,23.9,203.2,76.2,7.1,11.2,12.2,3.2,152.5,6.8,21.5,1955,152,8.02,2.24,192,27.7,226,53.5,0.911,16.5,0.0112,10.6,30.4
15,11,178x89x27,26.8,177.8,88.9,7.6,12.3,13.7,3.2,121,7.23,15.9,1753,241,7.17,2.66,197,39.3,230,75.4,0.915,12.6,0.0134,15.3,34.1
16,12,178x76x21,20.8,177.8,76.2,6.6,10.3,12.2,3.2,128.8,7.4,19.5,1338,134,7.1,2.25,151,24.8,176,48.1,0.911,15.3,0.00764,8.26,26.6
17,13,152x89x24,23.9,152.4,88.9,7.1,11.6,13.7,3.2,97,7.66,13.7,1168,216,6.2,2.66,153,35.8,178,68.3,0.909,11.2,0.00882,12.7,30.4
18,14,152x76x18,17.9,152.4,76.2,6.4,9,12.2,2.4,105.9,8.47,16.5,852,114,6.11,2.23,112,21,130,41.2,0.901,14.4,0.00486,6.05,22.8
19,15,127x64x15,14.9,127,63.5,6.4,9.2,10.7,2.4,84,6.9,13.1,482,67.2,5.04,1.88,76,15.2,89.4,29.3,0.909,11.7,0.00188,5,19
20,16,102x51x10,10.4,101.6,50.8,6.1,7.6,9.1,2.4,65.7,6.68,10.8,207,29,3.95,1.48,40.8,8.14,48.7,15.7,0.9,10.8,0.000512,2.58,13.3
21,17,76x38x7,6.7,76.2,38.1,5.1,6.8,7.6,2.4,45.8,5.6,8.98,74.3,10.7,2.95,1.12,19.5,4.09,23.5,7.78,0.908,9.06,0.000101,1.26,8.56
