,SFB,Slimflor Fabricated Beams,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,,Mass per,Thickness,Width,Depth,Width,Area,Second Moment,,Radius of,,Elastic,Elastic,,,Plastic,Plastic,,Buckling,Torsional,Warping,Torsional
1,,,Base,metre of,of plate,of,of,of,of,of Area,,Gyration,,neutral,Modulus,,,neutral,Modulus,,Parameter,Index,Constant,Constant
2,,Designation,Section,compound,,outstand,compound,compound,compound,,,,,axis,Axis x-x,Axis x-x,Axis y-y,axis,,,u,x,H,J
3,,,,section,,,section,section,section,Axis x-x,Axis y-y,Axis x-x,Axis y-y,position,Top,Bottom,,position,Axis x-x,Axis y-y,,,,
4,Home,,,kg/m,mm,mm,mm,mm,cm2,cm4,cm4,cm,cm, ,cm3,cm3,cm3, ,cm3,cm3, , ,dm6,cm4
5,1,356 SFB 732,356x406x634,732,20,100,495,624,932.3,341000,138600,19.1,12.2,22.4,12610,15210,4443,12.6,16500,9055,0.791,6.4,60,13890
6,2,356 SFB 648,356x406x551,648,20,100,476,618.5,825.6,286400,122100,18.6,12.2,21.2,10870,13500,3948,10.1,14110,7971,0.783,7.07,48.5,9405
7,3,356 SFB 563,356x406x467,563,20,100,457,612.2,717.4,235900,106100,18.1,12.2,19.9,9171,11840,3465,7.73,11760,6908,0.772,8,38.2,5972
8,4,356 SFB 488,356x406x393,488,20,100,439,607,622,193700,92640,17.6,12.2,18.7,7676,10380,3052,6.66,9725,5996,0.757,9.14,30.1,3707
9,5,356 SFB 435,356x406x340,435,20,100,426,603,553.6,165400,83400,17.3,12.3,17.7,6626,9359,2766,5.88,8314,5362,0.741,10.2,24.9,2504
10,6,356 SFB 381,356x406x287,381,20,100,414,599,485.5,138500,74500,16.9,12.4,16.6,5587,8353,2487,5.08,6938,4743,0.719,11.7,20.1,1600
11,7,356 SFB 328,356x406x235,328,20,100,401,594.8,418.4,113300,66070,16.5,12.6,15.3,4578,7382,2221,4.29,5617,4152,0.688,13.6,15.9,970
12,8,356 SFB 292,356x368x202,292,20,100,395,574.7,372.2,97190,55320,16.2,12.2,14.6,3915,6640,1925,3.9,4798,3571,0.685,14.8,12.1,711
13,9,356 SFB 267,356x368x177,267,20,100,388,572.6,340,85730,51820,15.9,12.3,13.9,3437,6180,1810,3.49,4183,3310,0.659,16.1,10.4,534
14,10,356 SFB 220,356x368x153,220,15,100,377,570.5,280.4,69720,40760,15.8,12.1,13.8,2923,5035,1429,2.97,3510,2655,0.677,18.8,8.51,315
15,11,356 SFB 196,356x368x129,196,15,100,371,568.6,249.6,59520,37590,15.4,12.3,12.9,2469,4597,1322,2.57,2943,2412,0.642,21.1,7.08,217
16,12,305 SFB 365,305x305x283,365,20,100,385,522.2,464.9,108900,48370,15.3,10.2,15.9,4821,6835,1852,5.97,6179,3706,0.76,8.99,10.8,2173
17,13,305 SFB 321,305x305x240,321,20,100,373,518.4,409.5,91060,43530,14.9,10.3,14.9,4076,6108,1680,5.17,5172,3294,0.74,10.2,8.65,1410
18,14,305 SFB 279,305x305x198,279,20,100,360,514.5,355.3,74580,39000,14.5,10.5,13.8,3358,5410,1516,4.38,4215,2904,0.711,11.7,6.77,871
19,15,305 SFB 238,305x305x158,238,20,100,347,511.2,303.6,59170,34830,14,10.7,12.5,2665,4730,1363,3.59,3317,2537,0.667,13.7,5.09,514
20,16,305 SFB 217,305x305x137,217,20,100,341,509.2,276.3,51450,32700,13.6,10.9,11.7,2307,4379,1285,3.17,2854,2349,0.635,14.9,4.29,385
21,17,305 SFB 178,305x305x118,178,15,100,330,507.4,226.3,41380,25390,13.5,10.6,11.7,1946,3542,1001,2.71,2374,1861,0.654,17.6,3.46,218
22,18,305 SFB 156,305x305x97,156,15,100,323,505.3,199.2,34490,23430,13.2,10.8,10.8,1601,3207,928,2.28,1939,1684,0.606,19.7,2.78,148
23,19,254 SFB 258,254x254x167,258,25,100,314,465.2,329.2,48550,30840,12.1,9.68,11.4,2427,4256,1326,4.32,3134,2490,0.649,9.52,3.09,869
24,20,254 SFB 204,254x254x132,204,20,100,296,461.3,260.4,35600,23890,11.7,9.58,10.6,1868,3370,1036,3.45,2360,1942,0.628,11.5,2.2,442
25,21,254 SFB 161,254x254x107,161,15,100,282,458.8,205.2,26580,18000,11.4,9.37,10.1,1472,2629,785,2.81,1826,1486,0.628,13.9,1.63,224
26,22,254 SFB 143,254x254x89,143,15,100,275,456.3,181.8,22350,16730,11.1,9.6,9.33,1228,2395,733,2.38,1506,1356,0.575,15.5,1.31,154
27,23,254 SFB 127,254x254x73,127,15,100,269,454.6,161.3,18530,15650,10.7,9.85,8.52,1008,2176,689,1.99,1228,1240,0.493,17,1.04,109
28,24,203 SFB 134,203x203x86,134,15,100,237,409.1,171,14980,11690,9.36,8.27,8.35,975,1794,571,2.65,1236,1084,0.566,11.6,0.608,183
29,25,203 SFB 119,203x203x71,119,15,100,231,406.4,151.4,12470,10930,9.07,8.5,7.64,808,1631,538,2.21,1011,993,0.476,12.9,0.481,126
30,26,203 SFB 108,203x203x60,108,15,100,225,405.8,137.2,10400,10420,8.7,8.71,7,672,1485,513,1.88,843,923,$,13.9,0.381,92.9
31,27,203 SFB 100,203x203x52,99.6,15,100,221,404.3,126.9,9133,10040,8.48,8.89,6.53,586,1400,497,1.64,728,877,$,14.5,0.324,77.2
32,28,203 SFB 94,203x203x46,93.6,15,100,218,403.6,119.3,8116,9766,8.25,9.05,6.12,517,1326,484,1.48,642,842,$,14.9,0.278,67.6
33,29,152 SFB 79,152x152x37,78.7,15,100,177,354.4,100.3,4162,6270,6.44,7.91,4.9,326,849,354,1.41,421,611,$,11.5,0.081,59
34,30,152 SFB 72,152x152x30,71.6,15,100,173,352.9,91.2,3402,6054,6.11,8.15,4.37,264,778,343,1.29,340,579,$,11.7,0.062,50.2
35,31,152 SFB 64,152x152x23,64.4,15,100,167,352.2,82.1,2569,5861,5.59,8.45,3.73,197,688,333,1.17,259,545,$,11.5,0.043,44.3
36,,"$ Values of u & x not given as lateral torsional buckling due to bending about x-axis cannot occur, because Iy exceeds Ix",,,,,,,,,,,,,,,,,,,,,,
