,SHS CF,Cold formed Square Hollow Sections in accordance with EN 10210 and Strongbox 2000,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,UK Edition,Unnamed: 11
0,,Designation,,Mass,Area,Second,Radius,Elastic,Plastic,Torsional,,Surface
1,,Size,Thickness,per,of,Moment,of,Modulus,Modulus,Constants,,Area
2,,D x B,t,metre,Section,of Area,Gyration,,,,,of
3,,,,,A,I,r,Z,S,J,C,Section
4,Home,mm x mm,mm,kg/m,cm2,cm4,cm,cm3,cm3,cm4,cm3,m2/m
5,1,20 x 20,2,1.05,1.34,0.692,0.72,0.692,0.877,1.21,1.06,0.073
6,2,20 x 20,2.5,1.25,1.59,0.766,0.694,0.766,1,1.39,1.19,0.071
7,3,25 x 25,2,1.36,1.74,1.48,0.924,1.19,1.47,2.53,1.8,0.093
8,4,25 x 25,2.5,1.64,2.09,1.69,0.899,1.35,1.71,2.97,2.07,0.091
9,5,25 x 25,3,1.89,2.41,1.84,0.874,1.47,1.91,3.33,2.27,0.09
10,6,30 x 30,2,1.68,2.14,2.72,1.13,1.81,2.21,4.54,2.75,0.113
11,7,30 x 30,2.5,2.03,2.59,3.16,1.1,2.1,2.61,5.4,3.2,0.111
12,8,30 x 30,3,2.36,3.01,3.5,1.08,2.34,2.96,6.15,3.58,0.11
13,9,40 x 40,2,2.31,2.94,6.94,1.54,3.47,4.13,11.3,5.23,0.153
14,10,40 x 40,2.5,2.82,3.59,8.22,1.51,4.11,4.97,13.6,6.21,0.151
15,11,40 x 40,3,3.3,4.21,9.32,1.49,4.66,5.72,15.8,7.07,0.15
16,12,40 x 40,4,4.2,5.35,11.1,1.44,5.54,7.01,19.4,8.48,0.146
17,13,50 x 50,2,2.93,3.74,14.1,1.95,5.66,6.66,22.6,8.51,0.193
18,14,50 x 50,2.5,3.6,4.59,16.9,1.92,6.78,8.07,27.5,10.2,0.191
19,15,50 x 50,3,4.25,5.41,19.5,1.9,7.79,9.39,32.1,11.8,0.19
20,16,50 x 50,4,5.45,6.95,23.7,1.85,9.49,11.7,40.4,14.4,0.186
21,17,60 x 60,3,5.19,6.61,35.1,2.31,11.7,14,57.1,17.7,0.23
22,18,60 x 60,4,6.71,8.55,43.6,2.26,14.5,17.6,72.6,22,0.226
23,19,70 x 70,2.5,5.17,6.59,49.4,2.74,14.1,16.5,78.5,21.2,0.271
24,20,70 x 70,3,6.13,7.81,57.5,2.71,16.4,19.4,92.4,24.7,0.27
25,21,70 x 70,3.6,7.24,9.23,66.5,2.69,19,22.7,108,28.7,0.268
26,22,70 x 70,4,7.97,10.1,72.1,2.67,20.6,24.8,119,31.1,0.266
27,23,70 x 70,5,9.7,12.4,84.6,2.62,24.2,29.6,142,36.7,0.263
28,24,80 x 80,3,7.07,9.01,87.8,3.12,22,25.8,140,33,0.31
29,25,80 x 80,3.6,8.37,10.7,102,3.09,25.5,30.2,165,38.4,0.308
30,26,80 x 80,4,9.22,11.7,111,3.07,27.8,33.1,180,41.8,0.306
31,27,80 x 80,5,11.3,14.4,131,3.03,32.9,39.7,218,49.7,0.303
32,28,80 x 80,6,13.2,16.8,149,2.98,37.3,45.8,252,56.6,0.299
33,29,80 x 80,6.3,13.5,17.2,149,2.94,37.1,46.1,261,57.9,0.293
34,30,90 x 90,3,8.01,10.2,127,3.53,28.3,33,201,42.5,0.35
35,31,90 x 90,3.6,9.5,12.1,149,3.5,33,38.9,238,49.6,0.348
36,32,90 x 90,4,10.5,13.3,162,3.48,36,42.6,261,54.2,0.346
37,33,90 x 90,5,12.8,16.4,193,3.43,42.9,51.4,316,64.7,0.343
38,34,90 x 90,6,15.1,19.2,220,3.39,49,59.5,368,74.2,0.339
39,35,100 x 100,3,8.96,11.4,177,3.94,35.4,41.2,279,53.2,0.39
40,36,100 x 100,4,11.7,14.9,226,3.89,45.3,53.3,362,68.1,0.386
41,37,100 x 100,5,14.4,18.4,271,3.84,54.2,64.6,441,81.7,0.383
42,38,100 x 100,6,17,21.6,311,3.79,62.3,75.1,514,94.1,0.379
43,39,100 x 100,6.3,17.5,22.2,314,3.76,62.8,76.4,536,97,0.373
44,40,100 x 100,8,21.4,27.2,366,3.67,73.2,91.1,645,114,0.366
45,41,120 x 120,4,14.2,18.1,402,4.71,67,78.3,637,101,0.466
46,42,120 x 120,5,17.5,22.4,485,4.66,80.9,95.4,778,122,0.463
47,43,120 x 120,6,20.7,26.4,562,4.61,93.7,112,913,141,0.459
48,44,120 x 120,6.3,21.4,27.3,572,4.58,95.3,114,955,146,0.453
49,45,120 x 120,8,26.4,33.6,677,4.49,113,138,1163,175,0.446
50,46,150 x 150,4,18,22.9,808,5.93,108,125,1265,162,0.586
51,47,150 x 150,5,22.3,28.4,982,5.89,131,153,1554,197,0.583
52,48,150 x 150,6,26.4,33.6,1146,5.84,153,180,1833,230,0.579
53,49,150 x 150,6.3,27.4,34.8,1174,5.8,156,185,1922,239,0.573
54,50,150 x 150,8,33.9,43.2,1412,5.71,188,226,2364,289,0.566
55,51,180 x 180,5,27,34.4,1737,7.11,193,224,2724,290,0.703
56,52,180 x 180,6,32.1,40.8,2037,7.06,226,264,3223,340,0.699
57,53,180 x 180,6.3,33.3,42.4,2096,7.03,233,273,3383,354,0.693
58,54,180 x 180,8,41.5,52.8,2546,6.94,283,336,4189,432,0.686
59,55,180 x 180,10,50.7,64.6,3017,6.84,335,404,5074,515,0.677
60,56,180 x 180,12.5,60.5,77,3406,6.65,378,467,6050,600,0.656
61,57,200 x 200,5,30.1,38.4,2410,7.93,241,279,3763,362,0.783
62,58,200 x 200,6,35.8,45.6,2833,7.88,283,330,4459,426,0.779
