,SHS HF OS,Hot finished Square Hollow Sections to EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Overseas Edition,Unnamed: 13,Unnamed: 14
0,,Designation,,Mass,Area,Ratios for,,Second,Radius of,Elastic,Plastic,Torsional,,Surface,Approx
1,,Size,Thickness,per,of,Local Buckling,,Moment,Gyration,Modulus,Modulus,Constants,,Area of,Length
2,,D x B,t,metre,Section,Flange,Web,of Area I,r,Z,S,J,C,Section,per Tonne
3,,,,,A,,,,,,,,,,
4,Home,mm x mm,mm,kg/m,cm2,b/t,d/t,cm4,cm,cm3,cm3,cm4,cm3,m2/m,m
5,1,40x40,2.5,2.89,3.68,13,13,8.54,1.52,4.27,5.14,13.6,6.22,0.154,346
6,2,40x40,3,3.41,4.34,10.3,10.3,9.78,1.5,4.89,5.97,15.7,7.1,0.152,293
7,3,40x40,3.2,3.61,4.6,9.5,9.5,10.2,1.49,5.11,6.28,16.5,7.42,0.152,277
8,4,40x40,4,4.39,5.59,7,7,11.8,1.45,5.91,7.44,19.5,8.54,0.15,228
9,5,40x40,4.9,5.2,6.62,5.16,5.16,13.2,1.41,6.62,8.55,22.2,9.51,0.147,192
10,6,40x40,5,5.28,6.73,5,5,13.4,1.41,6.68,8.66,22.5,9.6,0.147,189
11,7,50x50,2.5,3.68,4.68,17,17,17.5,1.93,6.99,8.29,27.5,10.2,0.194,272
12,8,50x50,3,4.35,5.54,13.7,13.7,20.2,1.91,8.08,9.7,32.1,11.8,0.192,230
13,9,50x50,3.2,4.62,5.88,12.6,12.6,21.2,1.9,8.49,10.2,33.8,12.4,0.192,217
14,10,50x50,4,5.64,7.19,9.5,9.5,25,1.86,9.99,12.3,40.4,14.5,0.19,177
15,11,50x50,4.9,6.74,8.58,7.2,7.2,28.5,1.82,11.4,14.3,46.9,16.5,0.187,148
16,12,50x50,5,6.85,8.73,7,7,28.9,1.82,11.6,14.5,47.6,16.7,0.187,146
17,13,50x50,6,7.99,10.2,5.33,5.33,32,1.77,12.8,16.5,53.6,18.4,0.185,125
18,14,50x50,6.3,8.31,10.6,4.94,4.94,32.8,1.76,13.1,17,55.2,18.8,0.184,120
19,15,60x60,3,5.29,6.74,17,17,36.2,2.32,12.1,14.3,56.9,17.7,0.232,189
20,16,60x60,3.2,5.62,7.16,15.7,15.7,38.2,2.31,12.7,15.2,60.2,18.6,0.232,178
21,17,60x60,4,6.9,8.79,12,12,45.4,2.27,15.1,18.3,72.5,22,0.23,145
22,18,60x60,4.9,8.28,10.5,9.24,9.24,52.5,2.23,17.5,21.6,85.1,25.4,0.227,121
