,SHS HF,Hot finished Square Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,UK Edition,Unnamed: 14
0,,Designation,,Mass,Area,Ratios for,,Second,Radius,Elastic,Plastic,Torsional,,Surface,Approx
1,,Size,Thickness,per,of,Local Buckling,,Moment,of,Modulus,Modulus,Constants,,Area,Length
2,,D x B,t,metre,Section,Flange,Web,of Area,Gyration,,,,,of,per
3,,,,,A,,,I,r,Z,S,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2,b/t,d/t,cm4,cm,cm3,cm3,cm4,cm3,m2/m,m
5,1,40x40,2.5,2.89,3.68,13,13,8.54,1.52,4.27,5.14,13.6,6.22,0.154,346
6,3,40x40,3,3.41,4.34,10.3,10.3,9.78,1.5,4.89,5.97,15.7,7.1,0.152,293
7,5,40x40,3.2,3.61,4.6,9.5,9.5,10.2,1.49,5.11,6.28,16.5,7.42,0.152,277
8,7,40x40,3.6,4.01,5.1,8.11,8.11,11.1,1.47,5.54,6.88,18.1,8.01,0.151,250
9,9,40x40,4,4.39,5.59,7,7,11.8,1.45,5.91,7.44,19.5,8.54,0.15,228
10,11,40x40,5,5.28,6.73,5,5,13.4,1.41,6.68,8.66,22.5,9.6,0.147,189
11,13,50x50,2.5,3.68,4.68,17,17,17.5,1.93,6.99,8.29,27.5,10.2,0.194,272
12,15,50x50,3,4.35,5.54,13.7,13.7,20.2,1.91,8.08,9.7,32.1,11.8,0.192,230
13,17,50x50,3.2,4.62,5.88,12.6,12.6,21.2,1.9,8.49,10.2,33.8,12.4,0.192,217
14,19,50x50,3.6,5.14,6.54,10.9,10.9,23.2,1.88,9.27,11.3,37.2,13.5,0.191,195
15,21,50x50,4,5.64,7.19,9.5,9.5,25,1.86,9.99,12.3,40.4,14.5,0.19,177
16,23,50x50,5,6.85,8.73,7,7,28.9,1.82,11.6,14.5,47.6,16.7,0.187,146
17,25,50x50,6,7.99,10.2,5.33,5.33,32,1.77,12.8,16.5,53.6,18.4,0.185,125
18,27,50x50,6.3,8.31,10.6,4.94,4.94,32.8,1.76,13.1,17,55.2,18.8,0.184,120
19,29,60x60,3,5.29,6.74,17,17,36.2,2.32,12.1,14.3,56.9,17.7,0.232,189
20,31,60x60,3.2,5.62,7.16,15.7,15.7,38.2,2.31,12.7,15.2,60.2,18.6,0.232,178
21,33,60x60,3.6,6.27,7.98,13.7,13.7,41.9,2.29,14,16.8,66.5,20.4,0.231,160
22,35,60x60,4,6.9,8.79,12,12,45.4,2.27,15.1,18.3,72.5,22,0.23,145
23,37,60x60,5,8.42,10.7,9,9,53.3,2.23,17.8,21.9,86.4,25.7,0.227,119
24,39,60x60,6,9.87,12.6,7,7,59.9,2.18,20,25.1,98.6,28.8,0.225,101
25,41,60x60,6.3,10.3,13.1,6.52,6.52,61.6,2.17,20.5,26,102,29.6,0.224,97.2
26,43,60x60,8,12.5,16,4.5,4.5,69.7,2.09,23.2,30.4,118,33.4,0.219,79.9
27,45,70x70,3,6.24,7.94,20.3,20.3,59,2.73,16.9,19.9,92.2,24.8,0.272,160
28,47,70x70,3.2,6.63,8.44,18.9,18.9,62.3,2.72,17.8,21,97.6,26.1,0.272,151
29,49,70x70,3.6,7.4,9.42,16.4,16.4,68.6,2.7,19.6,23.3,108,28.7,0.271,135
30,51,70x70,4,8.15,10.4,14.5,14.5,74.7,2.68,21.3,25.5,118,31.2,0.27,123
31,53,70x70,5,9.99,12.7,11,11,88.5,2.64,25.3,30.8,142,36.8,0.267,100
32,55,70x70,6,11.8,15,8.67,8.67,101,2.59,28.7,35.5,163,41.6,0.265,85.1
33,57,70x70,6.3,12.3,15.6,8.11,8.11,104,2.58,29.7,36.9,169,42.9,0.264,81.5
34,59,70x70,8,15,19.2,5.75,5.75,120,2.5,34.2,43.8,200,49.2,0.259,66.5
35,61,80x80,3.2,7.63,9.72,22,22,95,3.13,23.7,27.9,148,34.9,0.312,131
36,63,80x80,3.6,8.53,10.9,19.2,19.2,105,3.11,26.2,31,164,38.5,0.311,117
37,65,80x80,4,9.41,12,17,17,114,3.09,28.6,34,180,41.9,0.31,106
38,67,80x80,5,11.6,14.7,13,13,137,3.05,34.2,41.1,217,49.8,0.307,86.5
39,69,80x80,6,13.6,17.4,10.3,10.3,156,3,39.1,47.8,252,56.8,0.305,73.3
40,71,80x80,6.3,14.2,18.1,9.7,9.7,162,2.99,40.5,49.7,262,58.7,0.304,70.2
41,73,80x80,8,17.5,22.4,7,7,189,2.91,47.3,59.5,312,68.3,0.299,57
42,75,90x90,3.6,9.66,12.3,22,22,152,3.52,33.8,39.7,237,49.7,0.351,104
43,77,90x90,4,10.7,13.6,19.5,19.5,166,3.5,37,43.6,260,54.2,0.35,93.7
44,79,90x90,5,13.1,16.7,15,15,200,3.45,44.4,53,316,64.8,0.347,76.1
45,81,90x90,6,15.5,19.8,12,12,230,3.41,51.1,61.8,367,74.3,0.345,64.4
46,83,90x90,6.3,16.2,20.7,11.3,11.3,238,3.4,53,64.3,382,77,0.344,61.6
47,85,90x90,8,20.1,25.6,8.25,8.25,281,3.32,62.6,77.6,459,90.5,0.339,49.9
48,87,100x100,3.6,10.8,13.7,24.8,24.8,212,3.92,42.3,49.5,328,62.3,0.391,92.7
49,89,100x100,4,11.9,15.2,22,22,232,3.91,46.4,54.4,361,68.2,0.39,83.9
50,91,100x100,5,14.7,18.7,17,17,279,3.86,55.9,66.4,439,81.8,0.387,68
51,93,100x100,6,17.4,22.2,13.7,13.7,323,3.82,64.6,77.6,513,94.3,0.385,57.5
52,95,100x100,6.3,18.2,23.2,12.9,12.9,336,3.8,67.1,80.9,534,97.8,0.384,54.9
53,97,100x100,8,22.6,28.8,9.5,9.5,400,3.73,79.9,98.2,646,116,0.379,44.3
54,99,100x100,10,27.4,34.9,7,7,462,3.64,92.4,116,761,133,0.374,36.5
55,101,120x120,4,14.4,18.4,27,27,410,4.72,68.4,79.7,635,101,0.47,69.3
56,103,120x120,5,17.8,22.7,21,21,498,4.68,83,97.6,777,122,0.467,56
57,105,120x120,6,21.2,27,17,17,579,4.63,96.6,115,911,141,0.465,47.2
58,107,120x120,6.3,22.2,28.2,16,16,603,4.62,100,120,950,147,0.464,45.1
59,109,120x120,8,27.6,35.2,12,12,726,4.55,121,146,1160,176,0.459,36.2
60,111,120x120,10,33.7,42.9,9,9,852,4.46,142,175,1382,206,0.454,29.7
61,113,120x120,12,39.5,50.3,7,7,958,4.36,160,201,1578,230,0.449,25.3
62,115,120x120,12.5,40.9,52.1,6.6,6.6,982,4.34,164,207,1623,236,0.448,24.5
63,117,140x140,5,21,26.7,25,25,807,5.5,115,135,1253,170,0.547,47.7
64,119,140x140,6,24.9,31.8,20.3,20.3,944,5.45,135,159,1475,198,0.545,40.1
65,121,140x140,6.3,26.1,33.3,19.2,19.2,984,5.44,141,166,1540,206,0.544,38.3
66,123,140x140,8,32.6,41.6,14.5,14.5,1195,5.36,171,204,1892,249,0.539,30.7
67,125,140x140,10,40,50.9,11,11,1416,5.27,202,246,2272,294,0.534,25
68,127,140x140,12,47,59.9,8.67,8.67,1609,5.18,230,284,2616,333,0.529,21.3
69,129,140x140,12.5,48.7,62.1,8.2,8.2,1653,5.16,236,293,2696,342,0.528,20.5
70,131,150x150,5,22.6,28.7,27,27,1002,5.9,134,156,1550,197,0.587,44.3
71,133,150x150,6,26.8,34.2,22,22,1174,5.86,156,184,1828,230,0.585,37.3
72,135,150x150,6.3,28.1,35.8,20.8,20.8,1223,5.85,163,192,1909,240,0.584,35.6
73,137,150x150,8,35.1,44.8,15.8,15.8,1491,5.77,199,237,2351,291,0.579,28.5
74,139,150x150,10,43.1,54.9,12,12,1773,5.68,236,286,2832,344,0.574,23.2
75,141,150x150,12,50.8,64.7,9.5,9.5,2023,5.59,270,331,3272,391,0.569,19.7
76,143,150x150,12.5,52.7,67.1,9,9,2080,5.57,277,342,3375,402,0.568,19
77,145,150x150++,16,65.2,83,6.38,6.38,2430,5.41,324,411,4026,467,0.559,15.3
78,147,160x160,5,24.1,30.7,29,29,1225,6.31,153,178,1892,226,0.627,41.5
79,149,160x160,6,28.7,36.6,23.7,23.7,1437,6.27,180,210,2233,264,0.625,34.8
80,151,160x160,6.3,30.1,38.3,22.4,22.4,1499,6.26,187,220,2333,275,0.624,33.3
81,153,160x160,8,37.6,48,17,17,1831,6.18,229,272,2880,335,0.619,26.6
82,155,160x160,10,46.3,58.9,13,13,2186,6.09,273,329,3478,398,0.614,21.6
83,157,160x160,12,54.6,69.5,10.3,10.3,2502,6,313,382,4028,454,0.609,18.3
84,159,160x160,12.5,56.6,72.1,9.8,9.8,2576,5.98,322,395,4158,467,0.608,17.7
