,TeesUB,Tees Cut from Universal Beams in accordance with BS4 Part1 1993,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,,,,Mass,Width,Depth,Thickness,,Root,Ratios for local,,Dimension,Second Moment,,Radius,,Elastic,,,Plastic,,Buckling,Torsional,Torsional,Area of
1,,Section,Cut from,Per,of,of,of,,Radius,buckling,,,of Area,,of Gyration,,Modulus,,,Modulus,,Parameter,Index,Constant,Section
2,,Designation,Universal,Metre,Section,Section,Web,Flange,,Web,Flange,Cx,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Flange,Toe,Axis y-y,Axis x-x,Axis y-y,,,,
3,,,Beam,,h,b,s,t,r,d/s,b/2t,,Ix,Iy,rx,ry,Zxf,Zxt,Zy,Sx,Sy,u,x,J,A
4,Home, , ,kg/m,mm,mm,mm,mm,mm,,,cm,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm3, , ,cm4,cm2
5,1,305x457x127,914x305x253,126.7,305.5,459.1,17.3,27.9,19.1,26.5,5.47,12,32700,6650,14.2,6.42,2720,965,435,1727,685,0.655,18.1,313,161
6,2,305x457x112,914x305x224,112.1,304.1,455.1,15.9,23.9,19.1,28.6,6.36,12.1,29060,5618,14.3,6.27,2395,871,369,1566,582,0.667,20.6,211,143
7,3,305x457x101,914x305x201,100.4,303.3,451.4,15.1,20.2,19.1,29.9,7.51,12.5,26350,4711,14.4,6.07,2106,808,311,1464,491,0.686,23.4,146,128
8,4,292x419x113,838x292x226,113.3,293.8,425.4,16.1,26.8,17.8,26.4,5.48,10.8,24620,5680,13.1,6.27,2276,776,387,1384,606,0.639,17.5,257,144
9,5,292x419x97,838x292x194,96.9,292.4,420.3,14.7,21.7,17.8,28.6,6.74,11.1,21340,4533,13.1,6.06,1926,689,310,1237,487,0.659,20.8,153,123
10,6,292x419x88,838x292x176,87.9,291.7,417.4,14,18.8,17.8,29.8,7.76,11.4,19570,3899,13.2,5.9,1723,644,267,1164,421,0.675,23.2,111,112
11,7,267x381x99,762x267x197,98.4,268,384.8,15.6,25.4,16.5,24.7,5.28,9.89,17510,4087,11.8,5.71,1770,613,305,1093,479,0.641,16.6,202,125
12,8,267x381x87,762x267x173,86.5,266.7,381,14.3,21.6,16.5,26.6,6.17,9.98,15480,3425,11.9,5.58,1550,550,257,986,404,0.653,19,134,110
13,9,267x381x74,762x267x147,73.5,265.2,376.9,12.8,17.5,16.5,29.4,7.58,10.2,13240,2728,11.9,5.4,1304,481,206,867,324,0.67,22.6,79.5,93.6
14,10,254x343x85,686x254x170,85.1,255.8,346.4,14.5,23.7,15.2,23.9,5.4,8.67,12050,3315,10.5,5.53,1389,464,259,826,406,0.623,15.9,154,108
15,11,254x343x76,686x254x152,76.2,254.5,343.7,13.2,21,15.2,26,6.06,8.61,10750,2892,10.5,5.46,1249,417,227,743,355,0.627,17.7,110,97
16,12,254x343x70,686x254x140,70,253.7,341.7,12.4,19,15.2,27.6,6.68,8.63,9910,2591,10.5,5.39,1149,388,204,691,319,0.633,19.3,84.3,89.2
17,13,254x343x63,686x254x125,62.6,253,338.9,11.7,16.2,15.2,29,7.81,8.85,8976,2191,10.6,5.24,1014,358,173,643,271,0.651,21.9,58.1,79.7
18,14,305x305x119,610x305x238,119,311.4,317.8,18.4,31.4,16.5,17.3,4.96,7.11,12340,7918,9.02,7.23,1737,500,509,894,787,0.483,10.6,393,152
19,15,305x305x90,610x305x179,89.5,307.1,310,14.1,23.6,16.5,22,6.51,6.69,9043,5704,8.91,7.07,1353,372,371,657,572,0.485,13.8,170,114
20,16,305x305x75,610x305x149,74.6,304.8,306.1,11.8,19.7,16.5,25.9,7.74,6.45,7415,4654,8.83,7,1150,307,305,539,469,0.483,16.3,100,95
21,17,229x305x70,610x229x140,69.9,230.2,308.5,13.1,22.1,12.7,23.5,5.21,7.61,7741,2253,9.32,5.03,1017,333,196,592,306,0.613,15.3,108,89.1
22,18,229x305x63,610x229x125,62.5,229,306,11.9,19.6,12.7,25.7,5.84,7.54,6898,1966,9.31,4.97,915,299,172,531,268,0.617,17,77.1,79.7
23,19,229x305x57,610x229x113,56.5,228.2,303.7,11.1,17.3,12.7,27.4,6.6,7.58,6265,1717,9.33,4.88,826,275,150,489,235,0.627,19,55.7,72
24,20,229x305x51,610x229x101,50.6,227.6,301.2,10.5,14.8,12.7,28.7,7.69,7.78,5691,1457,9.4,4.76,732,255,128,456,200,0.644,21.5,38.5,64.4
