,UE Angles,Unequal Angles in accordance with BS4848: Part 4,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,,Designation,Mass Per,Root,Toe,Distance,Distance,Angle,Second Moment,,,,Radius,,,,Elastic,,Area
1,,,per,radius,Radius,of centre,of centre,x-x Axis,of Area,,,,of Gyration,,,,Modulus,,of
2,,,metre,,,of gravity,of gravity,to u-u Axis,Axis,Axis,Axis,Axis,Axis,Axis,Axis,Axis,Axis,Axis,Section
3,,D x B x t,,r1,r2,Cx,Cy,Tan a,x-x,y-y,u-u,v-v,x-x,y-y,u-u,v-v,x-x,y-y,A
4,Home,mm x mm x mm,kg/m,mm,mm,cm,cm, ,cm4,cm4,cm4,cm4,cm,cm,cm,cm,cm3,cm3,cm2
5,1,200x150x18,47.2,15,4.8,6.34,3.86,0.549,2390,1155,2922,623,6.3,4.38,6.97,3.22,175,104,60.1
6,2,200x150x15,39.7,15,4.8,6.22,3.75,0.551,2037,989,2495,531,6.34,4.42,7.02,3.24,148,87.8,50.6
7,3,200x150x12,32.1,15,4.8,6.1,3.63,0.553,1667,812,2044,435,6.38,4.45,7.07,3.26,120,71.4,40.9
8,4,200x100x15,33.9,15,4.8,7.17,2.23,0.26,1772,303,1879,197,6.41,2.65,6.6,2.13,138,39,43.1
9,5,200x100x12,27.4,15,4.8,7.04,2.11,0.263,1454,251,1544,162,6.45,2.68,6.65,2.15,112,31.9,34.9
10,6,200x100x10,23.1,15,4.8,6.95,2.03,0.265,1233,215,1310,138,6.48,2.7,6.68,2.17,94.5,26.9,29.4
11,7,150x90x15,26.7,12,4.8,5.21,2.24,0.354,764,207,844,127,4.74,2.47,4.99,1.93,78,30.6,34
12,8,150x90x12,21.6,12,4.8,5.09,2.12,0.359,630,172,698,104,4.78,2.5,5.03,1.95,63.6,25,27.6
13,9,150x90x10,18.2,12,4.8,5,2.04,0.361,536,147,595,89.1,4.81,2.52,5.06,1.96,53.6,21.2,23.2
14,10,150x75x15,24.9,11,4.8,5.53,1.81,0.254,715,120,756,79.2,4.75,1.95,4.89,1.58,75.5,21.1,31.7
15,11,150x75x12,20.2,11,4.8,5.41,1.7,0.259,591,100,626,65.2,4.79,1.98,4.93,1.59,61.6,17.3,25.7
16,12,150x75x10,17,11,4.8,5.32,1.62,0.262,503,86.3,534,55.7,4.82,2,4.96,1.6,52,14.7,21.7
17,13,125x75x12,17.8,11,4.8,4.31,1.84,0.354,355,96,392,58.8,3.95,2.06,4.16,1.61,43.4,17,22.7
18,14,125x75x10,15,11,4.8,4.23,1.76,0.358,303,82.5,336,50.2,3.98,2.08,4.18,1.62,36.7,14.4,19.2
19,15,125x75x8,12.2,11,4.8,4.14,1.68,0.36,249,68.1,275,41.2,4,2.09,4.21,1.63,29.7,11.7,15.5
20,16,100x75x12,15.4,10,4.8,3.27,2.03,0.54,189,90.3,230,49.5,3.1,2.14,3.42,1.59,28.1,16.5,19.7
21,17,100x75x10,13,10,4.8,3.19,1.95,0.544,162,77.7,197,42.2,3.12,2.16,3.45,1.59,23.8,14,16.6
22,18,100x75x8,10.6,10,4.8,3.1,1.87,0.547,133,64.2,163,34.7,3.14,2.18,3.48,1.61,19.3,11.4,13.5
23,19,100x65x10,12.3,10,4.8,3.36,1.63,0.41,154,51.1,175,30.2,3.14,1.81,3.35,1.39,23.2,10.5,15.6
24,20,100x65x8,10,10,4.8,3.28,1.56,0.414,127,42.3,144,24.9,3.17,1.83,3.38,1.4,18.9,8.56,12.7
25,21,100x65x7,8.8,10,4.8,3.23,1.51,0.415,113,37.7,128,22.1,3.18,1.84,3.39,1.41,16.6,7.56,11.2
26,22,80x60x8+,8.3,8,4.8,2.55,1.56,0.544,65.8,31.5,80.2,17.1,2.49,1.72,2.75,1.27,12.1,7.09,10.6
27,23,80x60x7+,7.3,8,4.8,2.5,1.52,0.545,58.5,28.1,71.4,15.2,2.5,1.73,2.76,1.27,10.6,6.26,9.35
28,24,80x60x6+,6.3,8,4.8,2.46,1.48,0.546,50.9,24.5,62.2,13.2,2.51,1.74,2.77,1.28,9.19,5.41,8.08
29,25,75x50x8+,7.4,7,2.4,2.53,1.29,0.43,52.4,18.6,60.1,10.9,2.36,1.4,2.52,1.07,10.5,5,9.44
30,26,75x50x6+,5.7,7,2.4,2.44,1.21,0.436,40.9,14.6,47.1,8.48,2.38,1.42,2.55,1.08,8.1,3.86,7.22
31,27,65x50x8+,6.8,6,2.4,2.12,1.37,0.569,34.9,17.8,43.1,9.62,2.01,1.44,2.24,1.06,7.97,4.92,8.61
32,28,65x50x6+,5.2,6,2.4,2.04,1.3,0.575,27.4,14.1,34,7.49,2.04,1.46,2.27,1.07,6.14,3.8,6.59
33,29,65x50x5+,4.4,6,2.4,2,1.26,0.577,23.3,12,29,6.38,2.05,1.47,2.28,1.07,5.18,3.21,5.55
34,30,60x30x6+,4,6,2.4,2.2,0.72,0.252,18.3,3.05,19.3,2.01,1.9,0.774,1.95,0.629,4.82,1.34,5.09
35,31,60x30x5+,3.4,6,2.4,2.16,0.68,0.256,15.7,2.64,16.6,1.72,1.91,0.783,1.96,0.632,4.08,1.14,4.3
36,32,40x25x4+,1.9,4,2.4,1.36,0.62,0.38,3.86,1.15,4.32,0.692,1.26,0.685,1.33,0.532,1.46,0.612,2.45
