id,sec,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area,Iw (x106 mm6),Edge to Centroid (mm),Shear centre to centroid (mm)
1,W 1100x400x607,607,1138,410,31,55,30,,,,,,,,,,,,,,,,,,,
2,W 1100x400x548,548,1128,407,28,50,30,,,,,,,,,,,,,,,,,,,
3,W 1100x400x499,499,1118,405,26,45,30,,,,,,,,,,,,,,,,,,,
4,W 1100x400x433,433,1108,402,22,40,30,,,,,,,,,,,,,,,,,,,
5,W 1100x400x390,390,1100,400,20,36,30,,,,,,,,,,,,,,,,,,,
6,W 1100x400x343,343,1090,400,18,31,30,,,,,,,,,,,,,,,,,,,
7,W 1000x400x976,976,1108,428,50,89.9,30,,,,,,,,,,,,,,,,,,,
8,W 1000x400x883,883,1092,424,45.5,82,30,,,,,,,,,,,,,,,,,,,
9,W 1000x400x748,748,1068,417,39,70,30,,,,,,,,,,,,,,,,,,,
10,W 1000x400x642,642,1048,412,34,60,30,,,,,,,,,,,,,,,,,,,
11,W 1000x400x591,591,1040,409,31,55.9,30,,,,,,,,,,,,,,,,,,,
12,W 1000x400x554,554,1032,408,29.5,52,30,,,,,,,,,,,,,,,,,,,
13,W 1000x400x539,539,1030,407,28.4,51.1,30,,,,,,,,,,,,,,,,,,,
14,W 1000x400x483,483,1020,404,25.4,46,30,,,,,,,,,,,,,,,,,,,
15,W 1000x400x443,443,1012,402,23.6,41.9,30,,,,,,,,,,,,,,,,,,,
16,W 1000x400x412,412,1008,402,21.1,40,30,,,,,,,,,,,,,,,,,,,
17,W 1000x400x371,371,1000,400,19,36.1,30,,,,,,,,,,,,,,,,,,,
18,W 1000x400x321,321,990,400,16.5,31,30,,,,,,,,,,,,,,,,,,,
19,W 1000x400x296,296,982,400,16.5,27.1,30,,,,,,,,,,,,,,,,,,,
20,W 1000x300x584,584,1056,314,36,64,30,,,,,,,,,,,,,,,,,,,
21,W 1000x300x494,494,1036,309,31,54,30,,,,,,,,,,,,,,,,,,,
22,W 1000x300x486,486,1036,308,30,54.1,30,,,,,,,,,,,,,,,,,,,
23,W 1000x300x438,438,1026,305,26.9,49,30,,,,,,,,,,,,,,,,,,,
24,W 1000x300x415,415,1020,304,26,46,30,,,,,,,,,,,,,,,,,,,
25,W 1000x300x393,393,1016,303,24.4,43.9,30,,,,,,,,,,,,,,,,,,,
26,W 1000x300x350,350,1008,302,21.1,40,30,,,,,,,,,,,,,,,,,,,
27,W 1000x300x314,314,1000,300,19.1,35.9,30,,,,,,,,,,,,,,,,,,,
28,W 1000x300x272,272,990,300,16.5,31,30,,,,,,,,,,,,,,,,,,,
29,W 1000x300x249,249,980,300,16.5,26,30,,,,,,,,,,,,,,,,,,,
30,W 1000x300x222,222,970,300,16,21.1,30,,,,,,,,,,,,,,,,,,,
31,W 920x420x1377,1377,1093,473,76.7,115.1,25,,,,,,,,,,,,,,,,,,,
32,W 920x420x1269,1269,1093,461,64,115.1,25,,,,,,,,,,,,,,,,,,,
33,W 920x420x1194,1194,1081,457,60.5,109,25,,,,,,,,,,,,,,,,,,,
34,W 920x420x1077,1077,1061,451,55,99.1,25,,,,,,,,,,,,,,,,,,,
35,W 920x420x970,970,1043,446,50,89.9,25,,,,,,,,,,,,,,,,,,,
36,W 920x420x787,787,1011,437,40.9,73.9,25,,,,,,,,,,,,,,,,,,,
37,W 920x420x725,725,999,434,38.1,68.1,25,,,,,,,,,,,,,,,,,,,
38,W 920x420x656,656,987,431,34.5,62,25,,,,,,,,,,,,,,,,,,,
39,W 920x420x588,588,975,427,31,55.9,25,,,,,,,,,,,,,,,,,,,
40,W 920x420x537,537,965,425,28.4,51.1,25,,,,,,,,,,,,,,,,,,,
41,W 920x420x491,491,957,422,25.9,47,25,,,,,,,,,,,,,,,,,,,
42,W 920x420x449,449,948,423,24,42.7,25,,,,,,,,,,,,,,,,,,,
43,W 920x420x420,420,943,422,22.5,39.9,25,,,,,,,,,,,,,,,,,,,
44,W 920x420x390,390,936,420,21.3,36.6,25,,,,,,,,,,,,,,,,,,,
45,W 920x420x368,368,931,419,20.3,34.3,25,,,,,,,,,,,,,,,,,,,
46,W 920x420x344,344,927,418,19.3,32,25,,,,,,,,,,,,,,,,,,,
47,W 920x310x576,576,993,322,36.1,65,25,,,,,,,,,,,,,,,,,,,
48,W 920x310x521,521,981,319,33,58.9,25,,,,,,,,,,,,,,,,,,,
49,W 920x310x474,474,971,316,30,54.1,25,,,,,,,,,,,,,,,,,,,
50,W 920x310x425,425,961,313,26.9,49,25,,,,,,,,,,,,,,,,,,,
51,W 920x310x381,381,951,310,24.4,43.9,25,,,,,,,,,,,,,,,,,,,
52,W 920x310x345,345,943,308,22.1,39.9,25,,,,,,,,,,,,,,,,,,,
53,W 920x310x313,313,932,309,21.1,34.5,25,,,,,,,,,,,,,,,,,,,
54,W 920x310x289,289,927,308,19.4,32,25,,,,,,,,,,,,,,,,,,,
55,W 920x310x271,271,923,307,18.4,30,25,,,,,,,,,,,,,,,,,,,
56,W 920x310x253,253,919,306,17.3,27.9,25,,,,,,,,,,,,,,,,,,,
57,W 920x310x238,238,915,305,16.5,25.9,25,,,,,,,,,,,,,,,,,,,
58,W 920x310x223,223,911,304,15.9,23.9,25,,,,,,,,,,,,,,,,,,,
59,W 920x310x201,201,903,304,15.2,20.1,25,,,,,,,,,,,,,,,,,,,
60,W 840x400x576,576,913,411,32,57.9,20,,,,,,,,,,,,,,,,,,,
61,W 840x400x527,527,903,409,29.5,53.1,20,,,,,,,,,,,,,,,,,,,
62,W 840x400x473,473,893,406,26.4,48,20,,,,,,,,,,,,,,,,,,,
63,W 840x400x433,433,885,404,24.4,43.9,20,,,,,,,,,,,,,,,,,,,
64,W 840x400x392,392,877,401,22.1,39.9,20,,,,,,,,,,,,,,,,,,,
65,W 840x400x359,359,868,403,21.1,35.6,20,,,,,,,,,,,,,,,,,,,
66,W 840x400x329,329,862,401,19.7,32.4,20,,,,,,,,,,,,,,,,,,,
67,W 840x400x299,299,856,400,18.2,29.2,20,,,,,,,,,,,,,,,,,,,
68,W 840x295x251,251,859,292,17,31,20,,,,,,,,,,,,,,,,,,,
69,W 840x295x226,226,851,294,16.1,26.8,20,,,,,,,,,,,,,,,,,,,
70,W 840x295x210,210,846,293,15.4,24.4,20,,,,,,,,,,,,,,,,,,,
71,W 840x295x193,193,840,292,14.7,21.7,20,,,,,,,,,,,,,,,,,,,
72,W 840x295x176,176,835,292,14,18.8,20,,,,,,,,,,,,,,,,,,,
