section,depth,flange,lip,thickness,area,ixx,sxx,rxx,iyy,syy,ryy,rzz,lminor,torsionconst,warpconst,mass,vr,cr’,pr102,pr203,lu,mr,1.83,2.44,3.05,3.66,4.27,4.88,5.49,6.1
06Z16,152,63.5,24.1,1.52,483,1.79,23.6,60.9,0.608,7.62,35.5,21.2,26.5,0.372,2.34,3.79,19.7,93,3.2,3.4,1.23,7.1,6.4,5.3,3.8,2.7,2,1.5,1.2,1
06Z14,152,63.5,24.1,1.9,601,2.22,29.1,60.8,0.751,9.43,35.3,21.1,26.4,0.722,2.87,4.72,35.1,127,5,5.3,1.23,9,8.4,6.8,4.7,3.3,2.5,2,1.6,1.3
06Z13,152,63.5,24.1,2.28,719,2.64,34.7,60.6,0.89,11.21,35.2,21,26.4,1.245,3.39,5.64,50.6,176,7.2,7.6,1.23,11.7,10.3,8.2,5.7,4,3.1,2.4,2,1.7
06Z12,152,63.5,24.1,2.66,835,3.05,40,60.4,1.026,12.94,35,20.9,26.4,1.965,3.88,6.55,66.5,219,9.8,10.3,1.23,13.7,11.9,9.5,6.7,4.8,3.6,2.9,2.4,2
06Z11,152,63.5,24.1,3.04,951,3.45,45.3,60.2,1.158,14.65,34.9,20.9,26.3,2.926,4.36,7.46,75.6,259,12.9,13.5,1.23,15.5,13.5,10.8,7.7,5.6,4.3,3.4,2.8,2.4
06Z10,152,63.5,24.1,3.42,1065,3.85,50.5,60.1,1.286,16.31,34.7,20.8,26.3,4.145,4.81,8.36,84.6,300,16.3,17,1.23,17.2,15.1,12.1,8.8,6.4,5,4,3.3,2.9
08Z16,203,71.1,27.4,1.52,594,3.81,37.5,80.1,0.87,9.69,38.3,24.2,21.2,0.457,6.18,4.66,14.4,99,3.2,3.4,1.36,10.9,10.3,8.8,6.9,5,3.7,2.9,2.3,1.9
08Z14,203,71.1,27.4,1.9,739,4.72,46.5,79.9,1.074,11.99,38.1,24.1,21.2,0.887,7.61,5.8,28.3,136,5,5.2,1.36,14.1,13.2,11.7,9,6.3,4.7,3.6,2.9,2.4
08Z13,203,71.1,27.4,2.28,885,5.63,55.4,79.7,1.276,14.27,38,24,21.1,1.531,9,6.94,49.1,182,7.2,7.6,1.36,17.8,16.9,14.4,10.7,7.6,5.6,4.4,3.5,2.9
08Z12,203,71.1,27.4,2.66,1028,6.51,64.1,79.6,1.472,16.5,37.8,23.9,21.1,2.42,10.34,8.06,68.8,239,9.8,10.3,1.36,21.8,19.9,16.6,12.5,8.8,6.6,5.2,4.2,3.5
08Z11,203,71.1,27.4,3.04,1172,7.39,72.7,79.4,1.664,18.7,37.7,23.9,21.1,3.605,11.65,9.19,89.9,287,12.9,13.4,1.36,24.8,22.6,18.9,14.3,10.1,7.6,6,4.9,4.1
08Z10,203,71.1,27.4,3.42,1314,8.24,81.1,79.2,1.851,20.84,37.5,23.8,21,5.11,12.91,10.3,113.7,333,16.3,17,1.36,27.7,25.2,21.1,16,11.5,8.7,6.9,5.6,4.7
09Z16,229,73.2,27.4,1.52,638,5.09,44.6,89.3,0.927,10.1,38.1,24.8,18.7,0.491,8.49,5.01,12.7,100,3.2,3.4,1.36,12.3,11.7,10.5,8.2,6.1,4.5,3.5,2.8,2.2
09Z14,229,73.2,27.4,1.9,795,6.32,55.3,89.1,1.146,12.51,38,24.7,18.6,0.954,10.46,6.23,24.9,137,5,5.2,1.36,16.7,15.6,13.6,10.8,7.6,5.6,4.3,3.5,2.8
