ID,SECTION,WT,AREA,H,B,TF,TW,IXX,IYY,RXX,RYY,ZXX,ZYY,h1,h2 ,b1/2,C,g,g1,mm,Unnamed: 22_level_1
1,ISJC 100,5.8,7.41,100,45,5.1,3,123.8,14.9,4.09,1.42,24.8,4.8,77,11.5,21,4.5,25,50,12,ISJC 100
2,ISJC 125,7.9,10.07,125,50,6.6,3,270,25.7,5.18,1.6,43.2,7.6,98.9,13.1,23.5,4.5,28,50,16,ISJC 125
3,ISJC 150,9.9,12.65,150,55,6.9,3.6,471.1,37.9,6.1,1.73,62.8,9.9,121.2,14.4,25.7,5.1,30,50,20,ISJC 150
4,ISJC 175,11.2,14.24,175,60,6.9,3.6,719.9,50.5,7.11,1.88,82.3,11.9,146.1,14.5,28.2,5.1,35,50,20,ISJC 175
5,ISJC 200,13.9,17.77,200,70,7.1,4.1,1161.2,84.2,8.08,2.18,116.1,16.7,168.5,15.8,33,5.6,40,50,22,ISJC 200
6,ISLC 75,5.7,7.26,75,40,6,3.7,66.1,11.5,3.02,1.26,17.6,4.3,50.4,12.3,18.2,5.2,21,50,12,ISLC 75
7,ISLC 100,7.9,10.02,100,50,6.4,4,164.7,24.8,4.06,1.57,32.9,7.3,74.3,12.8,23,5.5,28,50,16,ISLC 100
8,ISLC 125,10.7,13.67,125,65,6.6,4.4,356.8,57.2,5.11,2.05,57.1,12.8,96.6,14.2,30.3,5.9,35,50,22,ISLC 125
9,ISLC 150,14.4,18.36,150,75,7.8,4.8,697.2,103.2,6.16,2.37,93,20.2,117,16.5,35.1,6.3,40,50,25,ISLC 150
10,ISLC 175,17.6,22.4,175,75,9.5,5.1,1148.4,126.5,7.16,2.38,131.3,24.8,138.6,18.2,35,6.6,40,55,25,ISLC 175
11,ISLC 200,20.6,26.22,200,75,10.8,5.5,1725.5,146.9,8.11,2.37,172.6,28.5,160,20,34.8,7,40,55,25,ISLC 200
12,ISLC 225,24,30.53,225,90,10.2,5.8,2547.9,209.5,9.14,2.62,226.5,32,175.9,24.5,42.1,7.3,50,60,28,ISLC 225
13,ISLC 250,28,35.65,250,100,10.7,6.1,3687.9,298.4,10.17,2.89,295,40.9,198.9,25.5,47,7.6,60,60,28,ISLC 250
14,ISLC 300,33.1,42.11,300,100,11.6,6.7,6047.9,346,11.98,2.87,403.2,46.4,245.4,27.3,46.7,8.2,60,60,28,ISLC 300
15,ISLC 350,38.8,49.47,350,100,12.5,7.4,9312.6,394.6,13.72,2.82,532.1,52,291.9,29.1,46.3,8.9,60,65,28,ISLC 350
16,ISLC 400,45.7,58.25,400,100,14,8,13989.5,460.4,15.5,2.81,699.5,60.2,337.1,31.4,46,9.5,60,65,28,ISLC 400
17,ISMC 75,6.8,8.67,75,40,7.3,4.4,76,12.6,2.96,1.21,20.3,4.7,41.4,16.8,17.8,5.9,21,50,12,ISMC 75
18,ISMC 100,9.2,11.7,100,50,7.5,4.7,186.7,25.9,4,1.49,37.3,7.5,64,18,22.7,6.2,28,50,16,ISMC 100
19,ISMC 125,12.7,16.19,125,65,8.1,5,416.4,59.9,5.07,1.92,66.6,13.1,85.4,19.8,30,6.5,35,55,22,ISMC 125
20,ISMC 150,16.4,20.88,150,75,9,5.4,779.4,102.3,6.11,2.21,103.9,19.4,106.7,21.7,34.8,6.9,40,55,25,ISMC 150
21,ISMC 175,19.1,24.38,175,75,10.2,5.7,1223.3,121,7.08,2.23,139.8,22.8,128.4,23.3,34.7,7.2,40,55,25,ISMC 175
22,ISMC 200,22.1,28.21,200,75,11.4,6.1,1819.3,140.4,8.03,2.23,181.9,26.3,150.2,24.9,34.5,7.6,40,60,25,ISMC 200
23,ISMC 225,25.9,33.01,225,80,12.4,6.4,2694.6,187.2,9.03,2.38,239.5,32.8,170.9,27.1,36.8,7.9,45,60,25,ISMC 225
24,ISMC 250,30.4,38.67,250,80,14.1,7.1,3816.8,219.1,9.94,2.38,305.3,38.4,192.5,28.7,36.5,8.6,45,65,25,ISMC 250
25,ISMC 300,35.8,45.64,300,90,13.6,7.6,6362.8,310.8,11.81,2.61,424.2,46.8,240.7,29.6,41.2,9.1,50,65,28,ISMC 300
26,ISMC 350,42.1,53.66,350,100,13.5,8.1,10008,430.6,13.66,2.83,571.9,51,288.1,30.9,46,9.6,60,65,28,ISMC 350
27,ISMC 400,49.4,62.93,400,100,15.3,8.6,15082.8,504.8,15.48,2.83,754.1,66.6,332.8,33.6,45.7,10.1,60,70,28,ISMC 400
