id,section,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
,ISWB 600(2),145.1,600,250,11.8,23.6,18,9,5.29661016949153,21.1864406779661,115626.6,5298.3,25.01,5.35,3854.2,423.9,3854.199951,423.8999939,,,,,184.86
,ISWB 600(1),133.7,600,250,11.2,21.3,17,8.5,5.86854460093897,22.3214285714286,106198.5,4702.5,24.97,5.25,3540,376.2,3540,376.2000122,,,,,170.38
,ISMB 600,122.6,600,210,12,20.8,20,10,5.04807692307692,17.5,91813,2651,24.24,4.12,3060.4,252.5,3060.3999023,252.5,,,,,156.21
,ISWB 550,112.5,550,250,10.5,17.6,16,8,7.10227272727273,23.8095238095238,74906.1,3740.6,22.86,5.11,2723.9,299.2,2723.8999023,299.2000122,,,,,143.34
,ISMB 550,103.7,550,190,11.2,19.3,18,9,4.92227979274611,16.9642857142857,64893.6,1833.8,22.16,3.73,2359.8,193,2359.8000488,193,,,,,132.11
,ISLB 600,99.5,600,210,10.5,15.5,20,10,6.7741935483871,20,72867.6,1821.9,23.98,3.79,2428.9,173.5,2428.8999023,173.5,,,,,126.69
,ISWB 500,95.2,500,250,9.9,14.7,15,7.5,8.50340136054422,25.2525252525253,52290.9,2987.8,20.77,4.96,2091.6,239,2091.6000977,239,,,,,121.22
,ISHB 450(2),92.5,450,250,11.3,13.7,15,7.5,9.12408759124088,22.1238938053097,40349.9,3045,18.5,5.08,1793.3,242.1,1793.3000488,242.1000061,,,,,117.89
,ISHB 450(1),87.2,450,250,9.8,13.7,15,7.5,9.12408759124088,25.5102040816327,39210.8,2985.2,18.78,5.18,1742.7,238.8,1742.6999512,238.8000031,,,,,111.14
,ISMB 500,86.9,500,180,10.2,17.2,17,8.5,5.23255813953488,17.6470588235294,45218.3,1369.8,20.21,3.52,1808.7,152.2,1808.6999512,152.1999969,,,,,110.74
,ISLB 550,86.3,550,190,9.9,15,18,9,6.33333333333333,19.1919191919192,53161.6,1335.1,21.99,3.48,1933.2,140.5,1933.1999512,140.5,,,,,109.97
,ISHB 400(2),82.2,400,250,10.6,12.7,14,7,9.84251968503937,23.5849056603774,28823.5,2783,16.61,5.16,1444.2,221.3,1444.1999512,221.3000031,,,,,104.66
,ISWB 450,79.4,450,200,9.2,15.4,14,7,6.49350649350649,21.7391304347826,35057.6,1706.7,18.63,4.11,1558.1,170.7,1558.0999756,170.6999969,,,,,101.15
,ISHB 400(1),77.4,400,250,9.1,12.7,14,7,9.84251968503937,27.4725274725275,28083.5,2728.3,16.87,5.26,1404.2,218.3,1404.1999512,218.3000031,,,,,98.66
,ISLB 500,75,500,180,9.2,14.1,17,8.5,6.38297872340426,19.5652173913043,38579,1063.9,20.1,3.34,1543.2,118.2,1543.1999512,118.1999969,,,,,95.5
,ISHB 350(2),72.4,350,250,10.1,11.6,15,7.5,10.7758620689655,24.7524752475248,19802.8,2510.5,14.65,5.22,1131.6,199.4,350.7000122,111.1999969,,,,,92.21
