ID,SECTION,WT,H,B,TW,TF,R1,R2,B2T,DS,IXX,IYY,RXX,RYY,ZXX,ZYY,SXX,SYY,U,X,H2,J,AREA
1,ISA 20203,0.9,20,20,3,3,0,0,3.33333333333333,6.66666666666667,0.4,0.4,0.58,0.58,0,0,0,0,0,0,0,0,1.12
2,ISA 20204,1.1,20,20,4,4,0,0,2.5,5,0.5,0.5,0.58,0.58,0,0,0,0,0,0,0,0,1.45
3,ISA 25253,1.1,25,25,3,3,0,0,4.16666666666667,8.33333333333333,0.8,0.8,0.73,0.73,0,0,0,0,0,0,0,0,1.41
4,ISA 25254,1.4,25,25,4,4,0,0,3.125,6.25,1,1,0.73,0.73,0,0,0,0,0,0,0,0,1.84
5,ISA 25255,1.8,25,25,5,5,0,0,2.5,5,1.2,1.2,0.72,0.72,0,0,0,0,0,0,0,0,2.25
6,ISA 30303,1.4,30,30,3,3,0,0,5,10,1.4,1.4,0.89,0.89,0,0,0,0,0,0,0,0,1.73
7,ISA 30304,1.8,30,30,4,4,0,0,3.75,7.5,1.8,1.8,0.89,0.89,0,0,0,0,0,0,0,0,2.26
8,ISA 30305,2.2,30,30,5,5,0,0,3,6,2.1,2.1,0.88,0.88,0,0,0,0,0,0,0,0,2.77
9,ISA 35353,1.6,35,35,3,3,0,0,5.83333333333333,11.6666666666667,2.3,2.3,1.05,1.05,0,0,0,0,0,0,0,0,2.03
10,ISA 35354,2.1,35,35,4,4,0,0,4.375,8.75,2.9,2.9,1.05,1.05,0,0,0,0,0,0,0,0,2.66
11,ISA 35355,2.6,35,35,5,5,0,0,3.5,7,3.5,3.5,1.04,1.04,0,0,0,0,0,0,0,0,3.27
12,ISA 35356,3,35,35,6,6,0,0,2.91666666666667,5.83333333333333,4.1,4.1,1.03,1.03,0,0,0,0,0,0,0,0,3.86
13,ISA 40403,1.8,40,40,3,3,0,0,6.66666666666667,13.3333333333333,3.4,3.4,1.21,1.21,0,0,0,0,0,0,0,0,2.34
14,ISA 40404,2.4,40,40,4,4,0,0,5,10,4.5,4.5,1.21,1.21,0,0,0,0,0,0,0,0,3.07
15,ISA 40405,3,40,40,5,5,0,0,4,8,5.4,5.4,1.2,1.2,0,0,0,0,0,0,0,0,3.78
16,ISA 40406,3.5,40,40,6,6,0,0,3.33333333333333,6.66666666666667,6.3,6.3,1.19,1.19,0,0,0,0,0,0,0,0,4.47
17,ISA 45453,2.1,45,45,3,3,0,0,7.5,15,5,5,1.38,1.38,0,0,0,0,0,0,0,0,2.64
18,ISA 45454,2.7,45,45,4,4,0,0,5.625,11.25,6.5,6.5,1.37,1.37,0,0,0,0,0,0,0,0,3.47
19,ISA 45455,3.4,45,45,5,5,0,0,4.5,9,7.9,7.9,1.36,1.36,0,0,0,0,0,0,0,0,4.28
20,ISA 45456,4,45,45,6,6,0,0,3.75,7.5,9.2,9.2,1.35,1.35,0,0,0,0,0,0,0,0,5.07
