ID,SECTION,WT,H,B,TW,TF,R1,R2,B2T,DS,IXX,IYY,RXX,RYY,ZXX,ZYY,SXX,SYY,U,X,H2,J,AREA
1,ISA 30203,1.1,30,20,3,3,0,0,3.33333333333333,10,1.2,0.4,0.92,0.54,0,0,0,0,0,0,0,0,1.41
2,ISA 30204,1.4,30,20,4,4,0,0,2.5,7.5,1.5,0.5,0.92,0.54,0,0,0,0,0,0,0,0,1.84
3,ISA 30205,1.8,30,20,5,5,0,0,2,6,1.9,0.6,0.91,0.53,0,0,0,0,0,0,0,0,2.25
4,ISA 40253,1.5,40,25,3,3,0,0,4.16666666666667,13.3333333333333,3,0.9,1.25,0.68,0,0,0,0,0,0,0,0,1.88
5,ISA 40254,1.9,40,25,4,4,0,0,3.125,10,3.8,1.1,1.25,0.68,0,0,0,0,0,0,0,0,2.46
6,ISA 40255,2.4,40,25,5,5,0,0,2.5,8,4.6,1.4,1.24,0.67,0,0,0,0,0,0,0,0,3.02
7,ISA 40256,2.8,40,25,6,6,0,0,2.08333333333333,6.66666666666667,5.4,1.6,1.23,0.66,0,0,0,0,0,0,0,0,3.56
8,ISA 45303,1.7,45,30,3,3,0,0,5,15,4.4,1.5,1.42,0.84,0,0,0,0,0,0,0,0,2.18
9,ISA 45304,2.2,45,30,4,4,0,0,3.75,11.25,5.7,2,1.41,0.84,0,0,0,0,0,0,0,0,2.86
10,ISA 45305,2.8,45,30,5,5,0,0,3,9,6.9,2.4,1.4,0.83,0,0,0,0,0,0,0,0,3.52
11,ISA 45306,3.3,45,30,6,6,0,0,2.5,7.5,8,2.8,1.39,0.82,0,0,0,0,0,0,0,0,4.16
12,ISA 50303,1.8,50,30,3,3,0,0,5,16.6666666666667,5.9,1.6,1.59,0.82,0,0,0,0,0,0,0,0,2.34
13,ISA 50304,2.4,50,30,4,4,0,0,3.75,12.5,7.7,2.1,1.58,0.82,0,0,0,0,0,0,0,0,3.07
14,ISA 50305,3,50,30,5,5,0,0,3,10,9.3,2.5,1.57,0.81,0,0,0,0,0,0,0,0,3.78
15,ISA 50306,3.5,50,30,6,6,0,0,2.5,8.33333333333333,10.9,2.9,1.56,0.8,0,0,0,0,0,0,0,0,4.47
16,ISA 60405,3.7,60,40,5,5,0,0,4,12,16.9,6,1.89,1.12,0,0,0,0,0,0,0,0,4.76
17,ISA 60406,4.4,60,40,6,6,0,0,3.33333333333333,10,19.9,7,1.88,1.11,0,0,0,0,0,0,0,0,5.65
18,ISA 60408,5.8,60,40,8,8,0,0,2.5,7.5,25.4,8,1.86,1.1,0,0,0,0,0,0,0,0,7.37
19,ISA 65455,4.1,65,45,5,5,0,0,4.5,13,22.1,8.6,2.05,1.28,0,0,0,0,0,0,0,0,5.26
20,ISA 65456,4.9,65,45,6,6,0,0,3.75,10.8333333333333,26,10.1,2.04,1.27,0,0,0,0,0,0,0,0,6.25
21,ISA 65458,6.4,65,45,8,8,0,0,2.8125,8.125,33.2,12.8,2.02,1.25,0,0,0,0,0,0,0,0,8.17
22,ISA 70455,4.3,70,45,5,5,0,0,4.5,14,27.2,8.8,2.22,1.26,0,0,0,0,0,0,0,0,5.52
23,ISA 70456,5.2,70,45,6,6,0,0,3.75,11.6666666666667,32,10.3,2.21,1.25,0,0,0,0,0,0,0,0,6.56
24,ISA 70458,6.7,70,45,8,8,0,0,2.8125,8.75,41,13.1,2.19,1.24,0,0,0,0,0,0,0,0,8.58
25,ISA 704510,8.3,70,45,10,10,0,0,2.25,7,49.3,15.6,2.16,1.22,0,0,0,0,0,0,0,0,10.52
26,ISA 75505,4.7,75,50,5,5,0,0,5,15,34.1,12.2,2.38,1.42,0,0,0,0,0,0,0,0,6.02
27,ISA 75506,5.6,75,50,6,6,0,0,4.16666666666667,12.5,40.3,14.3,2.37,1.41,0,0,0,0,0,0,0,0,7.16
28,ISA 75508,7.4,75,50,8,8,0,0,3.125,9.375,51.8,18.3,2.35,1.4,0,0,0,0,0,0,0,0,9.38
29,ISA 755010,9,75,50,10,10,0,0,2.5,7.5,62.3,21.8,2.33,1.38,0,0,0,0,0,0,0,0,11.52
30,ISA 80505,4.9,80,50,5,5,0,0,5,16,40.6,12.3,2.55,1.4,0,0,0,0,0,0,0,0,6.27
31,ISA 80506,5.9,80,50,6,6,0,0,4.16666666666667,13.3333333333333,48,14.4,2.54,1.39,0,0,0,0,0,0,0,0,7.46
32,ISA 80508,7.7,80,50,8,8,0,0,3.125,10,61.9,18.5,2.52,1.37,0,0,0,0,0,0,0,0,9.78
33,ISA 805010,9.4,80,50,10,10,0,0,2.5,8,74.7,22.1,2.49,1.36,0,0,0,0,0,0,0,0,12.02
34,ISA 90606,6.8,90,60,6,6,0,0,5,15,70.6,25.2,2.86,1.71,0,0,0,0,0,0,0,0,8.65
35,ISA 90608,8.9,90,60,8,8,0,0,3.75,11.25,91.5,32.4,2.84,1.69,0,0,0,0,0,0,0,0,11.37
36,ISA 906010,11,90,60,10,10,0,0,3,9,110.9,39.1,2.81,1.67,0,0,0,0,0,0,0,0,14.01
37,ISA 906012,13,90,60,12,12,0,0,2.5,7.5,129.1,45.2,2.79,1.65,0,0,0,0,0,0,0,0,16.57
38,ISA 100656,7.5,100,65,6,6,0,0,0.5,1.66666666666667,96.7,32.4,3.18,1.84,0,0,0,0,0,0,0,0,9.55
39,ISA 100658,9.9,100,65,8,8,0,0,0.375,1.25,125.9,41.9,3.16,1.83,0,0,0,0,0,0,0,0,12.57
40,ISA 1006510,12.2,100,65,10,10,0,0,0.3,1,153.2,50.7,3.14,1.81,0,0,0,0,0,0,0,0,15.51
41,ISA 100756,8,100,75,6,6,0,0,0.583333333333333,1.66666666666667,100.9,48.7,3.15,2.19,0,0,0,0,0,0,0,0,10.14
42,ISA 100758,10.5,100,75,8,8,0,0,0.4375,1.25,131.6,63.3,3.14,2.18,0,0,0,0,0,0,0,0,13.36
43,ISA 1007510,13,100,75,10,10,0,0,0.35,1,160.4,76.9,3.12,2.16,0,0,0,0,0,0,0,0,16.5
44,ISA 1007512,15.4,100,75,12,12,0,0,0.291666666666667,0.833333333333333,187.5,89.5,3.1,2.14,0,0,0,0,0,0,0,0,19.56
45,ISA 125756,9.2,120,75,6,6,0,0,4.75,2,187.8,51.6,4.01,2.1,0,0,0,0,0,0,0,0,11.66
46,ISA 125758,12.1,120,75,8,8,0,0,3.5625,1.5,245.5,67.2,4,2.09,0,0,0,0,0,0,0,0,15.38
47,ISA 1257510,14.9,120,75,10,10,0,0,2.85,1.2,300.3,81.6,3.97,2.07,0,0,0,0,0,0,0,0,19.02
48,ISA 125956,10.1,125,95,6,6,0,0,4.91666666666667,2,203.2,102.1,3.97,2.82,0,0,0,0,0,0,0,0,12.86
49,ISA 125958,13.3,125,95,8,8,0,0,3.6875,1.5,266,133.3,3.96,2.8,0,0,0,0,0,0,0,0,16.98
50,ISA 1259510,16.5,125,95,10,10,0,0,2.95,1.2,325.8,162.7,3.94,2.78,0,0,0,0,0,0,0,0,21.02
51,ISA 1259512,19.6,125,95,12,12,0,0,2.45833333333333,1,382.6,190.4,3.91,2.76,0,0,0,0,0,0,0,0,24.98
52,ISA 150758,13.7,150,75,8,8,0,0,0.4375,1.875,407.2,70.2,4.83,2.01,0,0,0,0,0,0,0,0,17.42
53,ISA 1507510,16.9,150,75,10,10,0,0,0.35,1.5,499.1,85.3,4.81,1.99,0,0,0,0,0,0,0,0,21.56
54,ISA 1507612,20.1,150,76,12,12,0,0,0.291666666666667,1.25,587,99.5,4.79,1.97,0,0,0,0,0,0,0,0,25.62
55,ISA 1501158,16.2,150,115,8,8,0,0,0.0625,1.875,465.7,238.9,4.76,3.41,0,0,0,0,0,0,0,0,20.58
56,ISA 15011510,20,150,115,10,10,0,0,0.05,1.5,573.3,293.4,4.74,3.39,0,0,0,0,0,0,0,0,25.52
57,ISA 15011512,23.8,150,115,12,12,0,0,0.0416666666666667,1.25,676.5,345.3,4.72,3.37,0,0,0,0,0,0,0,0,30.38
58,ISA 15011515,29.5,150,115,15,15,0,0,0.0333333333333333,1,823.5,418.6,4.69,3.34,0,0,0,0,0,0,0,0,37.52
59,ISA 20010010,22.8,200,100,10,10,0,0,0.05,2,1210,209.2,6.46,2.68,0,0,0,0,0,0,0,0,29.03
60,ISA 20010012,27.2,200,100,12,12,0,0,0.0416666666666667,1.66666666666667,1431.7,246.2,6.43,2.67,0,0,0,0,0,0,0,0,34.59
61,ISA 20010015,33.6,200,100,15,15,0,0,0.0333333333333333,1.33333333333333,1750.5,298.1,6.4,2.64,0,0,0,0,0,0,0,0,42.78
62,ISA 20015010,26.7,200,150,10,10,0,0,0.05,2,1377.9,669.6,6.37,4.44,0,0,0,0,0,0,0,0,34
63,ISA 20015012,31.8,200,150,12,12,0,0,0.0416666666666667,1.66666666666667,1634.9,793.2,6.35,4.42,0,0,0,0,0,0,0,0,40.56
64,ISA 20015015,39.4,200,150,15,15,0,0,0.0333333333333333,1.33333333333333,2005.6,969.9,6.32,4.39,0,0,0,0,0,0,0,0,50.25
65,ISA 20015018,46.9,200,150,18,18,0,0,0.0277777777777778,1.11111111111111,2359.4,1136.9,6.28,4.36,0,0,0,0,0,0,0,0,59.76
