NO,IDX,Designation,T,A,W,CXX,EXX,IXX,IUU,IVV,RXX,RUU,RVV,ZXX,IXY,NAME
1,1,ISA 20203,3,1.12,0.9,0.59,1.41,0.4,0.6,0.2,0.58,0.73,0.37,0.3,0.2,ISA 20203
2,2,ISA 20204,4,1.45,1.1,0.63,1.37,0.5,0.8,0.2,0.58,0.72,0.37,0.4,0.3,ISA 20204
4,3,ISA 25253,3,1.41,1.1,0.71,1.79,0.8,1.2,0.3,0.73,0.93,0.47,0.4,0.4,ISA 25253
5,4,ISA 25254,4,1.84,1.4,0.75,1.75,1,1.6,0.4,0.73,0.91,0.47,0.6,0.6,ISA 25254
6,5,ISA 25255,5,2.25,1.8,0.79,1.71,1.2,1.8,0.5,0.72,0.91,0.47,0.7,0.7,ISA 25255
8,6,ISA 30303,3,1.73,1.4,0.83,2.17,1.4,2.2,0.6,0.89,1.13,0.57,0.6,0.8,ISA 30303
9,7,ISA 30304,4,2.26,1.8,0.87,2.13,1.8,2.8,0.7,0.89,1.12,0.57,0.8,1,ISA 30304
10,8,ISA 30305,5,2.77,2.2,0.92,2.08,2.1,3.4,0.9,0.88,1.11,0.57,1,1.2,ISA 30305
12,9,ISA 35353,3,2.03,1.6,0.95,2.55,2.3,3.6,0.9,1.05,1.33,0.67,0.9,1.3,ISA 35353
13,10,ISA 35354,4,2.66,2.1,1,2.5,2.9,4.7,1.2,1.05,1.32,0.67,1.2,1.7,ISA 35354
14,11,ISA 35355,5,3.27,2.6,1.04,2.46,3.5,5.6,1.5,1.04,1.31,0.67,1.4,2.1,ISA 35355
15,12,ISA 35356,6,3.86,3,1.08,2.42,4.1,6.5,1.7,1.03,1.29,0.67,1.7,2.4,ISA 35356
17,13,ISA 40403,3,2.34,1.8,1.08,2.92,3.4,5.5,1.4,1.21,1.54,0.77,1.2,2,ISA 40403
18,14,ISA 40404,4,3.07,2.4,1.12,2.88,4.5,7.1,1.8,1.21,1.53,0.77,1.6,2.6,ISA 40404
19,15,ISA 40405,5,3.78,3,1.16,2.84,5.4,8.6,2.2,1.2,1.51,0.77,1.9,3.2,ISA 40405
20,16,ISA 40406,6,4.47,3.5,1.2,2.8,6.3,10,2.6,1.19,1.5,0.77,2.3,3.7,ISA 40406
22,17,ISA 45453,3,2.64,2.1,1.2,3.3,5,8,2,1.38,1.74,0.87,1.5,2.9,ISA 45453
23,18,ISA 45454,4,3.47,2.7,1.25,3.25,6.5,10.4,2.6,1.37,1.73,0.87,2,3.8,ISA 45454
24,19,ISA 45455,5,4.28,3.4,1.29,3.21,7.9,12.6,3.2,1.36,1.72,0.87,2.5,4.6,ISA 45455
25,20,ISA 45456,6,5.07,4,1.33,3.17,9.2,14.6,3.8,1.35,1.7,0.87,2.9,5.4,ISA 45456
27,21,ISA 50503,3,2.95,2.3,1.32,3.68,6.9,11.1,2.8,1.53,1.94,0.97,1.9,4.1,ISA 50503
28,22,ISA 50504,4,3.88,3,1.37,3.63,9.1,14.5,3.6,1.53,1.93,0.97,2.5,5.3,ISA 50504
29,23,ISA 50505,5,4.79,3.8,1.41,3.59,11,17.6,4.5,1.52,1.92,0.97,3.1,6.5,ISA 50505
30,24,ISA 50506,6,5.68,4.5,1.45,3.55,12.9,20.6,5.3,1.51,1.9,0.96,3.6,7.6,ISA 50506
32,25,ISA 55555,5,5.27,4.1,1.53,3.97,14.7,23.5,5.9,1.67,2.11,1.06,3.7,8.6,ISA 55555
33,26,ISA 55556,6,6.26,4.9,1.57,3.93,17.3,27.5,7,1.66,2.1,1.06,4.4,10.1,ISA 55556
34,27,ISA 55558,8,8.18,6.4,1.65,3.85,22,34.9,9.1,1.64,2.07,1.06,5.7,12.8,ISA 55558
35,28,ISA 555510,10,10.02,7.9,1.72,3.78,26.3,41.5,11.2,1.62,2.03,1.06,7,15.1,ISA 555510
37,29,ISA 60605,5,5.75,4.5,1.65,4.35,19.2,30.6,7.7,1.82,2.31,1.16,4.4,11.3,ISA 60605
38,30,ISA 60606,6,6.84,5.4,1.69,4.31,22.6,36,9.1,1.82,2.29,1.15,5.2,13.3,ISA 60606
39,31,ISA 60608,8,8.96,7,1.77,4.23,29,46,11.9,1.8,2.27,1.15,6.8,16.9,ISA 60608
40,32,ISA 606010,10,11,8.6,1.85,4.15,34.8,54.9,14.6,1.78,2.23,1.15,8.4,20.1,ISA 606010
42,33,ISA 65655,5,6.25,4.9,1.77,4.73,24.7,39.4,9.9,1.99,2.51,1.26,5.2,14.5,ISA 65655
43,34,ISA 65656,6,7.44,5.8,1.81,4.69,29.1,46.5,11.7,1.98,2.5,1.26,6.2,17.2,ISA 65656
44,35,ISA 65658,8,9.76,7.7,1.89,4.61,37.4,59.5,15.3,1.96,2.47,1.25,8.1,22,ISA 65658
45,36,ISA 656510,10,12,9.4,1.97,4.53,45,71.3,18.8,1.94,2.44,1.25,9.9,26.2,ISA 656510
47,37,ISA 70705,5,6.77,5.3,1.89,5.11,31.1,49.8,12.5,2.15,2.71,1.36,6.1,18.4,ISA 70705
48,38,ISA 70706,6,8.06,6.3,1.94,5.06,36.8,58.8,14.8,2.14,2.7,1.36,7.3,21.7,ISA 70706
49,39,ISA 70708,8,10.58,8.3,2.02,4.98,47.4,75.5,19.3,2.12,2.67,1.35,9.5,27.9,ISA 70708
50,40,ISA 707010,10,13.02,10.2,2.1,4.9,57.2,90.7,23.7,2.1,2.64,1.35,11.7,33.3,ISA 707010
52,41,ISA 75755,5,7.27,5.7,2.02,5.48,38.7,61.9,15.5,2.31,2.92,1.46,7.1,22.8,ISA 75755
53,42,ISA 75756,6,8.66,6.8,2.06,5.44,45.7,73.1,18.4,2.3,2.91,1.46,8.4,27,ISA 75756
54,43,ISA 75758,8,11.38,8.9,2.14,5.36,59,94.1,24,2.28,2.88,1.45,11,34.8,ISA 75758
55,44,ISA 757510,10,14.02,11,2.22,5.28,71.4,113.3,29.4,2.26,2.84,1.45,13.5,41.7,ISA 757510
57,45,ISA 80806,6,9.29,7.3,2.18,5.28,56,89.6,22.5,2.46,3.11,1.56,9.6,33,ISA 80806
58,46,ISA 80808,8,12.21,9.6,2.27,5.73,72.5,115.6,29.4,2.44,3.08,1.55,12.6,42.7,ISA 80808
59,47,ISA 808010,10,15.05,11.8,2.34,5.66,87.7,139.5,36,2.41,3.04,1.55,15.5,51.4,ISA 808010
60,48,ISA 808012,12,17.81,14,2.42,5.58,101.9,161.4,42.4,2.39,3.01,1.54,18.3,59.2,ISA 808012
62,49,ISA 90906,6,10.47,8.2,2.42,6.58,80.1,128.1,32,2.77,3.5,1.75,12.2,47.2,ISA 90906
63,50,ISA 90908,8,13.79,10.8,2.51,6.49,104.2,166.4,42,2.75,3.47,1.75,16,61.5,ISA 90908
64,51,ISA 909010,10,17.03,13.4,2.59,6.41,126.7,201.9,51.6,2.73,3.44,1.74,19.8,74.5,ISA 909010
65,52,ISA 909012,12,20.19,15.8,2.66,6.34,147.9,234.9,60.9,2.71,3.41,1.74,23.3,86.5,ISA 909012
67,53,ISA 1001006,6,11.67,9.2,2.67,7.33,111.3,178.1,44.5,3.09,3.91,1.95,15.2,65.7,ISA 1001006
68,54,ISA 1001008,8,15.39,12.1,2.76,7.24,145.1,231.8,58.4,3.07,3.88,1.95,20,85.8,ISA 1001008
69,55,ISA 10010010,10,19.03,14.9,2.84,7.16,177,282.2,71.8,3.05,3.85,1.94,24.7,104.4,ISA 10010010
70,56,ISA 10010012,12,22.59,17.7,2.92,7.08,207,329.3,84.7,3.03,3.82,1.94,29.2,121.6,ISA 10010012
72,57,ISA 1101108,8,17.02,13.4,3,8,195,311.7,78.2,3.38,4.28,2.14,24.4,115.1,ISA 1101108
73,58,ISA 11011010,10,21.06,16.5,3.08,7.92,238.4,380.5,96.3,3.36,4.25,2.14,30.1,140.6,ISA 11011010
74,59,ISA 11011012,12,25.02,19.6,3.16,7.84,279.6,445.3,113.8,3.34,4.22,2.13,35.7,164.5,ISA 11011012
75,60,ISA 11011015,15,30.81,24.2,3.27,7.73,337.4,535.4,139.3,3.31,4.17,2.13,43.7,197,ISA 11011015
77,61,ISA 1301308,8,20.22,15.9,3.5,9.5,328.3,525.1,131.4,4.03,5.1,2.55,34.5,194.2,ISA 1301308
78,62,ISA 13013010,10,25.06,19.7,3.58,9.42,402.7,643.4,162.1,4.01,5.07,2.54,42.7,238.3,ISA 13013010
79,63,ISA 13013012,12,29.82,23.4,3.66,9.34,473.8,755.9,191.8,3.99,5.03,2.54,50.7,279.9,ISA 13013012
80,64,ISA 13013015,15,36.81,28.9,3.78,9.22,574.6,914.2,235,3.95,4.98,2.53,62.3,337.8,ISA 13013015
82,65,ISA 15015010,10,29.03,22.8,4.06,10.94,622.4,995.4,249.4,4.63,5.86,2.93,56.9,368.2,ISA 15015010
83,66,ISA 15015012,12,34.59,27.2,4.14,10.86,735.4,1174.8,296,4.61,5.83,2.93,67.7,435,ISA 15015012
84,67,ISA 15015015,15,42.78,33.6,4.26,10.74,896.8,1429.7,363.8,4.58,5.78,2.92,83.5,529.1,ISA 15015015
85,68,ISA 15015018,18,50.79,39.9,4.38,10.62,1048,1668.2,429.5,4.54,5.73,2.91,98.7,616,ISA 15015018
87,69,ISA 20020012,12,46.61,36.6,5.36,14.64,1788.9,2862,715.9,6.2,7.84,3.92,122.2,1058.9,ISA 20020012
88,70,ISA 20020015,15,57.8,45.4,5.49,14.51,2197.7,3511.8,883.7,6.17,7.79,3.91,151.4,1301.2,ISA 20020015
89,71,ISA 20020018,18,68.81,54,5.61,14.39,2588.7,4130.8,1046.5,6.13,7.75,3.9,179.9,1530.5,ISA 20020018
90,72,ISA 20020025,25,93.8,73.6,5.88,14.12,3436,5460.9,1411.6,6.05,7.63,3.88,243.3,2015.7,ISA 20020025
