,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Moment of Inertia,Unnamed: 8,Raddi of Gyration,Unnamed: 10,Modulli of Section,Unnamed: 12
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
3,4,ISLB 75,6.1,7.71,75.0,50.0,5.0,3.7,72.7,10,3.07,1.14,19.4,4
4,5,ISLB 100,8.0,10.21,100.0,50.0,6.4,4,168,12.7,4.06,1.12,33.6,5.1
5,6,ISLB 125,11.9,15.12,125.0,75.0,6.5,4.4,406.8,43.4,5.19,1.69,65.1,11.6
7,8,ISLB 150,14.2,18.08,150.0,80.0,6.8,4.8,688.2,55.2,6.17,1.75,91.8,13.8
8,9,ISLB 175,16.7,21.3,175.0,90.0,6.9,5.1,1096.2,79.6,7.17,1.93,125.3,17.7
9,10,ISLB 200,19.8,25.27,200.0,100.0,7.3,5.4,1696.6,115.4,8.19,2.13,169.7,23.1
11,12,ISLB 225,23.5,29.92,225.0,100.0,8.6,5.8,2501.9,112.7,9.15,1.94,222.4,22.5
12,13,ISLB 250,27.9,35.53,250.0,125.0,8.2,6.1,3717.8,193.4,10.23,2.33,297.4,30.9
13,14,ISLB 275,33.0,42.02,275.0,140.0,8.8,6.4,5375.3,287,11.31,2.61,392.4,41
15,16,ISLB 300,37.7,48.08,300.0,150.0,9.4,6.7,7332.9,376.2,12.35,2.8,488.9,50.2
16,17,ISLB 325,43.1,54.9,325.0,165.0,9.8,7,9874.6,510.8,13.41,3.05,607.7,61.9
17,18,ISLB 350,49.5,63.01,350.0,165.0,11.4,7.4,13158.3,631.9,14.45,3.17,751.9,76.6
19,20,ISLB 400,56.9,72.43,400.0,165.0,12.5,8,19306.3,716.4,16.33,3.15,965.3,86.8
20,21,ISLB 450,65.3,83.14,450.0,170.0,13.4,8.6,27536.1,853,18.2,3.2,1223.8,100.4
21,22,ISLB 500,75.0,95.5,500.0,180.0,14.1,9.2,38579,1063.9,20.1,3.34,1543.2,118.2
23,24,ISLB 550,86.3,109.97,550.0,190.0,15.0,9.9,53161.6,1335.1,21.99,3.48,1933.2,140.5
24,25,ISLB 600,99.5,126.69,600.0,210.0,15.5,10.5,72867.6,1821.9,23.98,3.79,2428.9,173.5
