,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Moment of Inertia,Unnamed: 8,Raddi of Gyration,Unnamed: 10,Modulli of Section,Unnamed: 12
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
3,4,ISMB 100,11.5,14.6,100.0,75.0,7.2,4,257.5,40.8,4.2,1.67,51.5,10.9
4,5,ISMB 125,13.0,16.6,125.0,75.0,7.6,4.4,449,43.7,5.2,1.62,71.8,11.7
5,6,ISMB 150,14.9,19.0,150.0,80.0,7.6,4.8,726.4,52.6,6.18,1.66,96.9,13.1
7,8,ISMB 175,19.3,24.62,175.0,90.0,8.6,5.5,1272,85,7.19,1.86,145.4,18.9
8,9,ISMB 200,25.4,32.33,200.0,100.0,10.8,5.7,2235.4,150,8.32,2.15,223.5,30
9,10,ISMB 225,31.2,39.72,225.0,110.0,11.8,6.5,3441.8,218.3,9.31,2.34,305.9,39.7
11,12,ISMB 250,37.3,47.55,250.0,125.0,12.5,6.9,5131.6,334.5,10.39,2.65,410.5,53.5
12,13,ISMB 300,44.2,56.26,300.0,140.0,12.4,7.5,8603.6,453.9,12.37,2.84,573.6,64.8
13,14,ISMB 350,52.4,66.71,350.0,140.0,14.2,8.1,13630.3,537.7,14.29,2.84,778.9,76.8
15,16,ISMB 400,61.6,78.46,400.0,140.0,16.0,8.9,20458.4,422.1,16.15,2.82,1022.9,88.9
16,17,ISMB 450,72.4,92.27,450.0,150.0,17.4,9.4,30390.8,834,18.15,3.01,1350.7,111.2
17,18,ISMB 500,86.9,110.74,500.0,180.0,17.2,10.2,45218.3,1369.8,20.21,3.52,1808.7,152.2
19,20,ISMB 550,103.7,132.11,550.0,190.0,19.3,11.2,64893.6,1833.8,22.16,3.73,2359.8,193
20,21,ISMB 600,122.6,156.21,600.0,210.0,20.8,12,91813,2651,24.24,4.12,3060.4,252.5
