ID,SECTION,WT,H,B,TW,TF,R1,R2,B2T,DS,IXX,IYY,RXX,RYY,ZXX,ZYY,SXX,SYY,U,X,H2,J,AREA
1,ISJC 100,5.8,100,45,3.0,5.1,0.0,0.0,4.411764705882353,33.333333333333336,123.8,14.9,4.09,1.42,24.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.41
2,ISJC 125,7.9,125,50,3.0,6.6,0.0,0.0,3.787878787878788,41.666666666666664,270.0,25.7,5.18,1.6,43.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,10.07
3,ISJC 150,9.9,150,55,3.6,6.9,0.0,0.0,3.9855072463768115,41.666666666666664,471.1,37.9,6.1,1.73,62.8,9.9,0.0,0.0,0.0,0.0,0.0,0.0,12.65
4,ISJC 175,11.2,175,60,3.6,6.9,0.0,0.0,4.3478260869565215,48.61111111111111,719.9,50.5,7.11,1.88,82.3,11.9,0.0,0.0,0.0,0.0,0.0,0.0,14.24
5,ISJC 200,13.9,200,70,4.1,7.1,0.0,0.0,4.929577464788733,48.78048780487805,1161.2,84.2,8.08,2.18,116.1,16.7,0.0,0.0,0.0,0.0,0.0,0.0,17.77
6,ISLC 75,5.7,75,40,3.7,6.0,0.0,0.0,3.3333333333333335,20.27027027027027,66.1,11.5,3.02,1.26,17.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,7.26
7,ISLC 100,7.9,100,50,4.0,6.4,0.0,0.0,3.90625,25.0,164.7,24.8,4.06,1.57,32.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,10.02
8,ISLC 125,10.7,125,65,4.4,6.6,0.0,0.0,4.924242424242425,28.409090909090907,356.8,57.2,5.11,2.05,57.1,12.8,0.0,0.0,0.0,0.0,0.0,0.0,13.67
9,ISLC 150,14.4,150,75,4.8,7.8,0.0,0.0,4.8076923076923075,31.25,697.2,103.2,6.16,2.37,93.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,18.36
10,ISLC 175,17.6,175,75,5.1,9.5,0.0,0.0,3.9473684210526314,34.31372549019608,1148.4,126.5,7.16,2.38,131.3,24.8,0.0,0.0,0.0,0.0,0.0,0.0,22.4
11,ISLC 200,20.6,200,75,5.5,10.8,0.0,0.0,3.472222222222222,36.36363636363637,1725.5,146.9,8.11,2.37,172.6,28.5,0.0,0.0,0.0,0.0,0.0,0.0,26.22
12,ISLC 225,24.0,225,90,5.8,10.2,0.0,0.0,4.411764705882353,38.793103448275865,2547.9,209.5,9.14,2.62,226.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53
13,ISLC 250,28.0,250,100,6.1,10.7,0.0,0.0,4.672897196261682,40.98360655737705,3687.9,298.4,10.17,2.89,295.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,35.65
14,ISLC 300,33.1,300,100,6.7,11.6,0.0,0.0,4.310344827586207,44.776119402985074,6047.9,346.0,11.98,2.87,403.2,46.4,0.0,0.0,0.0,0.0,0.0,0.0,42.11
15,ISLC 350,38.8,350,100,7.4,12.5,0.0,0.0,4.0,47.2972972972973,9312.6,394.6,13.72,2.82,532.1,52.0,0.0,0.0,0.0,0.0,0.0,0.0,49.47
16,ISLC 400,45.7,400,100,8.0,14.0,0.0,0.0,3.5714285714285716,50.0,13989.5,460.4,15.5,2.81,699.5,60.2,0.0,0.0,0.0,0.0,0.0,0.0,58.25
17,ISMC 75,6.8,75,40,4.4,7.3,0.0,0.0,2.73972602739726,17.045454545454543,76.0,12.6,2.96,1.21,20.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,8.67
18,ISMC 100,9.2,100,50,4.7,7.5,0.0,0.0,3.3333333333333335,21.27659574468085,186.7,25.9,4.0,1.49,37.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,11.7
19,ISMC 125,12.7,125,65,5.0,8.1,0.0,0.0,4.012345679012346,25.0,416.4,59.9,5.07,1.92,66.6,13.1,0.0,0.0,0.0,0.0,0.0,0.0,16.19
20,ISMC 150,16.4,150,75,5.4,9.0,0.0,0.0,4.166666666666667,27.777777777777775,779.4,102.3,6.11,2.21,103.9,19.4,0.0,0.0,0.0,0.0,0.0,0.0,20.88
21,ISMC 175,19.1,175,75,5.7,10.2,0.0,0.0,3.6764705882352944,30.70175438596491,1223.3,121.0,7.08,2.23,139.8,22.8,0.0,0.0,0.0,0.0,0.0,0.0,24.38
22,ISMC 200,22.1,200,75,6.1,11.4,0.0,0.0,3.289473684210526,32.786885245901644,1819.3,140.4,8.03,2.23,181.9,26.3,0.0,0.0,0.0,0.0,0.0,0.0,28.21
23,ISMC 225,25.9,225,80,6.4,12.4,0.0,0.0,3.225806451612903,35.15625,2694.6,187.2,9.03,2.38,239.5,32.8,0.0,0.0,0.0,0.0,0.0,0.0,33.01
24,ISMC 250,30.4,250,80,7.1,14.1,0.0,0.0,2.8368794326241136,35.21126760563381,3816.8,219.1,9.94,2.38,305.3,38.4,0.0,0.0,0.0,0.0,0.0,0.0,38.67
25,ISMC 300,35.8,300,90,7.6,13.6,0.0,0.0,3.308823529411765,39.473684210526315,6362.8,310.8,11.81,2.61,424.2,46.8,0.0,0.0,0.0,0.0,0.0,0.0,45.64
26,ISMC 350,42.1,350,100,8.1,13.5,0.0,0.0,3.7037037037037037,43.20987654320988,10008.0,430.6,13.66,2.83,571.9,51.0,0.0,0.0,0.0,0.0,0.0,0.0,53.66
27,ISMC 400,49.4,400,100,8.6,15.3,0.0,0.0,3.2679738562091503,46.51162790697675,15082.8,504.8,15.48,2.83,754.1,66.6,0.0,0.0,0.0,0.0,0.0,0.0,62.93
