ID,SECTION,WT,H,B,TW,TF,R1,R2,B2T,DS,IXX,IYY,RXX,RYY,ZXX,ZYY,SXX,SYY,U,X,H2,J,AREA
1,15 NB: 21.3x2.0 ,0.0,21.3,21.3,2.0,2.0,0.0,0.0,5.325,10.65,5700,5700,0.0,0.0,747.65,747.65,0.0,0.0,0.0,0.0,0.0,0.0,121
2,15 NB: 21.3x2.6 ,0.0,21.3,21.3,2.6,2.6,0.0,0.0,4.096153846153846,8.192307692307692,6800,6800,0.0,0.0,915.05,915.05,0.0,0.0,0.0,0.0,0.0,0.0,153
3,15 NB: 21.3x3.2 ,0.0,21.3,21.3,3.2,3.2,0.0,0.0,3.328125,6.65625,7700,7700,0.0,0.0,1059.27,1059.27,0.0,0.0,0.0,0.0,0.0,0.0,182
4,20 NB: 26.9x2.3 ,0.0,26.9,26.9,2.3,2.3,0.0,0.0,5.8478260869565215,11.695652173913043,13600,13600,0.0,0.0,1395.92,1395.92,0.0,0.0,0.0,0.0,0.0,0.0,178
5,20 NB: 26.9x2.6 ,0.0,26.9,26.9,2.6,2.6,0.0,0.0,5.1730769230769225,10.346153846153845,14800,14800,0.0,0.0,1541.13,1541.13,0.0,0.0,0.0,0.0,0.0,0.0,198
6,20 NB: 26.9x3.2 ,0.0,26.9,26.9,3.2,3.2,0.0,0.0,4.203124999999999,8.406249999999998,17000,17000,0.0,0.0,1808.33,1808.33,0.0,0.0,0.0,0.0,0.0,0.0,238
7,25 NB: 33.7x2.6 ,0.0,33.7,33.7,2.6,2.6,0.0,0.0,6.480769230769231,12.961538461538462,30900,30900,0.0,0.0,2520.6,2520.6,0.0,0.0,0.0,0.0,0.0,0.0,254
8,25 NB: 33.7x3.2 ,0.0,33.7,33.7,3.2,3.2,0.0,0.0,5.265625,10.53125,36000,36000,0.0,0.0,2987.72,2987.72,0.0,0.0,0.0,0.0,0.0,0.0,307
9,25 NB: 33.7x4.0 ,0.0,33.7,33.7,4.0,4.0,0.0,0.0,4.2125,8.425,41900,41900,0.0,0.0,3549.69,3549.69,0.0,0.0,0.0,0.0,0.0,0.0,373
10,32 NB: 42.4x2.6 ,0.0,42.4,42.4,2.6,2.6,0.0,0.0,8.153846153846153,16.307692307692307,64600,64600,0.0,0.0,4124.36,4124.36,0.0,0.0,0.0,0.0,0.0,0.0,325
