,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Moment of Inertia,Unnamed: 8,Raddi of Gyration,Unnamed: 10,Modulli of Section,Unnamed: 12
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
3,4,ISWB 150,17.0,21.67,150.0,100.0,7.0,5.4,839.1,94.8,6.22,2.09,111.9,19
4,5,ISWB 175,22.1,28.11,175.0,125.0,7.4,5.8,1509.4,188.6,7.33,2.59,172.5,30.2
5,6,ISWB 200,28.8,36.71,200.0,140.0,9.0,6.1,2624.5,328.8,8.46,2.99,262.5,47
7,8,ISWB 225,33.9,43.24,225.0,150.0,9.9,6.4,3920.5,448.6,9.52,3.22,348.5,59.8
8,9,ISWB 250,40.9,52.05,250.0,200.0,9.0,6.7,5943.1,857.5,10.69,4.06,475.4,85.7
9,10,ISWB 300,48.1,61.33,300.0,200.0,10.0,7.4,9821.6,990.1,12.66,4.02,654.8,99
11,12,ISWB 350,56.9,72.5,350.0,200.0,11.4,8,15521.7,1175.9,14.63,4.03,887,117.6
12,13,ISWB 400,66.7,85.01,400.0,200.0,13.0,8.6,23426.7,1388,16.6,4.04,1711.3,138.8
13,14,ISWB 450,79.4,101.15,450.0,200.0,15.4,9.2,35057.6,1706.7,18.63,4.11,1558.1,170.7
15,16,ISWB 500,95.2,121.22,500.0,250.0,14.7,9.9,52290.9,2987.8,20.77,4.96,2091.6,239
16,17,ISWB 550,112.5,143.34,550.0,250.0,17.6,10.5,74906.1,3740.6,22.86,5.11,2723.9,299.2
17,18,ISWB 600(1),133.7,170.38,600.0,250.0,21.3,11.2,106198.5,4702.5,24.97,5.25,3540,376.2
19,20,ISWB 600(2),145.1,184.86,600.0,250.0,23.6,11.8,115626.6,5298.3,25.01,5.35,3854.2,423.9
