id,sec,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
,NPB 750x270x,202.48,770,270,15.6,26.6,17,,,,,,,,,,,,,,,,
,NPB 750x270x,174.54,760,270,14.4,21.6,17,,,,,,,,,,,,,,,,
,NPB 700x250x,171.47,709,250,14.5,23.5,24,,,,,,,,,,,,,,,,
,NPB 600x220x,154.46,610,224,15,24,24,,,,,,,,,,,,,,,,
,NPB 700x250x,153.86,704,250,13,21,24,,,,,,,,,,,,,,,,
,NPB 750x270x,145.29,750,265,13.2,16.6,17,,,,,,,,,,,,,,,,
,NPB 700x250x,143.42,700,250,12.5,19,24,,,,,,,,,,,,,,,,
,NPB 700x250x,128.41,695,250,11.5,16.5,24,,,,,,,,,,,,,,,,
,NPB 550x210x,122.52,556,212,12.7,20.2,24,,,,,,,,,,,,,,,,
,NPB 600x220x,122.45,600,220,12,19,24,,,,,,,,,,,,,,,,
,NPB 700x250x,113.45,694,250,9,16,24,,,,,,,,,,,,,,,,
,NPB 600x220x,107.56,597,220,9.8,17.5,24,,,,,,,,,,,,,,,,
,NPB 500x200x,107.31,506,202,12,19,21,,,,,,,,,,,,,,,,
,NPB 550x210x,105.52,550,210,11.1,17.2,24,,,,,,,,,,,,,,,,
,NPB 450x190x,92.36,456,192,11,17.6,21,,,,,,,,,,,,,,,,
,NPB 550x210x,92.07,547,210,9,15.7,24,,,,,,,,,,,,,,,,
,NPB 500x200x,90.68,500,200,10.2,16,21,,,,,,,,,,,,,,,,
,NPB 500x200x,79.36,497,200,8.4,14.5,21,,,,,,,,,,,,,,,,
,NPB 350x250x,79.18,340,250,9,14,18,,,,,,,,,,,,,,,,
,NPB 450x190x,77.57,450,190,9.4,14.6,21,,,,,,,,,,,,,,,,
,NPB 400x180x,75.66,404,182,9.7,15.5,21,,,,,,,,,,,,,,,,
,NPB 300x200x,75.37,310,205,9.4,16.6,15,,,,,,,,,,,,,,,,
,NPB 400x200x,67.28,400,200,8,13,21,,,,,,,,,,,,,,,,
,NPB 450x190x,67.15,447,190,7.6,13.1,21,,,,,,,,,,,,,,,,
,NPB 300x200x,66.75,306,204,8.5,14.6,15,,,,,,,,,,,,,,,,
,NPB 400x180x,66.3,400,180,8.6,13.5,21,,,,,,,,,,,,,,,,
,NPB 350x170x,66.04,364,172,9.2,14.7,18,,,,,,,,,,,,,,,,
,NPB 300x200x,59.56,303,203,7.5,13.1,15,,,,,,,,,,,,,,,,
,NPB 400x180x,57.38,397,180,7,12,21,,,,,,,,,,,,,,,,
,NPB 350x170x,57.09,360,170,8,12.7,18,,,,,,,,,,,,,,,,
,NPB 330x160x,57,334,162,8.5,13.5,18,,,,,,,,,,,,,,,,
,NPB 300x165x,53.46,317,167,7.6,13.2,15,,,,,,,,,,,,,,,,
,NPB 350x170x,50.21,357.6,170,6.6,11.5,18,,,,,,,,,,,,,,,,
,NPB 300x150x,49.32,304,152,8,12.7,15,,,,,,,,,,,,,,,,
,NPB 330x160x,49.15,330,160,7.5,11.5,18,,,,,,,,,,,,,,,,
,NPB 200x165x,48,210,166,6.5,14.5,12,,,,,,,,,,,,,,,,
,NPB 250x150x,46.48,266,148,7.6,13.2,15,,,,,,,,,,,,,,,,
,NPB 300x165x,45.76,313,166,6.6,11.2,15,,,,,,,,,,,,,,,,
,NPB 250x175x,43.94,244,175,7,11,15,,,,,,,,,,,,,,,,
,NPB 330x160x,42.97,327,160,6.5,10,18,,,,,,,,,,,,,,,,
,NPB 200x165x,42.47,205,166,7.2,12,12,,,,,,,,,,,,,,,,
,NPB 270x135x,42.26,274,136,7.5,12.2,15,,,,,,,,,,,,,,,,
,NPB 300x150x,42.24,300,150,7.1,10.7,15,,,,,,,,,,,,,,,,
,NPB 300x165x,39.88,310,165,5.8,9.7,15,,,,,,,,,,,,,,,,
,NPB 250x150x,39.78,262,147,6.6,11.2,15,,,,,,,,,,,,,,,,
,NPB 300x150x,36.52,297,150,6.1,9.2,15,,,,,,,,,,,,,,,,
,NPB 270x135x,36.07,270,135,6.6,10.2,15,,,,,,,,,,,,,,,,
,NPB 200x165x,35.68,201,165,6.2,10,12,,,,,,,,,,,,,,,,
,NPB 240x120x,34.31,242,122,7,10.8,15,,,,,,,,,,,,,,,,
,NPB 250x150x,34.08,258,146,6.1,9.2,15,,,,,,,,,,,,,,,,
,NPB 200x130x,31.55,210,134,6.4,10,12,,,,,,,,,,,,,,,,
,NPB 270x135x,30.73,267,135,5.5,8.7,15,,,,,,,,,,,,,,,,
,NPB 240x120x,30.71,240,120,6.2,9.8,15,,,,,,,,,,,,,,,,
,NPB 200x150x,30.45,194,150,6,9,12,,,,,,,,,,,,,,,,
,NPB 250x125x,30.11,250,125,6,9,15,,,,,,,,,,,,,,,,
,NPB 220x110x,29.35,222,112,6.6,10.2,12,,,,,,,,,,,,,,,,
,NPB 200x130x,27.37,207,133,5.8,8.5,12,,,,,,,,,,,,,,,,
,NPB 220x110x,26.2,220,110,5.9,9.2,12,,,,,,,,,,,,,,,,
,NPB 240x120x,26.15,237,120,5.2,8.3,15,,,,,,,,,,,,,,,,
,NPB 200x100x,25.09,202,102,6.2,9.5,12,,,,,,,,,,,,,,,,
,NPB 200x100x,22.36,200,100,5.6,8.5,12,,,,,,,,,,,,,,,,
,NPB 220x110x,22.18,217,110,5,7.7,12,,,,,,,,,,,,,,,,
,NPB 180x90x,21.27,182,92,6,9,9,,,,,,,,,,,,,,,,
,NPB 180x90x,18.8,180,91,5.3,8,9,,,,,,,,,,,,,,,,
,NPB 200x100x,18.42,197,100,4.5,7,12,,,,,,,,,,,,,,,,
,NPB 160x80x,15.77,160,82,5,7.4,9,,,,,,,,,,,,,,,,
,NPB 180x90x,15.37,177,91,4.3,6.5,9,,,,,,,,,,,,,,,,
,NPB 140x70x,12.89,140,73,4.7,6.9,7,,,,,,,,,,,,,,,,
,NPB 120x60x,10.37,120,64,4.4,6.3,7,,,,,,,,,,,,,,,,
,NPB 100x55x,8.1,100,55,4.1,5.7,7,,,,,,,,,,,,,,,,
