,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Centre of Gravity Cyy,Moment of Inertia,Unnamed: 9,Raddi of Gyration,Unnamed: 11,Modulli of Section,Unnamed: 13
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm, cm,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1
3,4,ISNT 20,0.9,1.13,20.0,20.0,3.0,3.0,0.6,0.4,0.2,0.59,0.39,0.3,0.2
4,5,ISNT 30,1.4,1.75,30.0,30.0,3.0,3.0,0.83,1.4,0.6,0.89,0.57,0.6,0.4
5,6,ISNT 40,3.5,4.48,40.0,40.0,6.0,6.0,1.2,6.3,3,1.18,0.82,2.2,1.5
6,7,ISNT 50,4.5,5.7,50.0,50.0,6.0,6.0,1.44,12.7,5.9,1.5,1.02,3.6,2.4
7,8,ISNT 60,5.4,6.9,60.0,60.0,6.0,6.0,1.67,22.5,10.1,1.81,1.21,5.2,3.4
8,9,ISNT 80,9.6,12.25,80.0,80.0,8.0,8.0,2.23,71.2,32.3,2.41,1.62,12.3,8.1
9,10,ISNT 100,15.0,19.1,100.0,100.0,10.0,10.0,2.79,173.8,79.9,3.02,2.05,24.1,16
10,11,ISNT 150,22.8,29.08,150.0,150.0,10.0,10.0,3.95,603.8,267.5,4.56,3.03,54.6,35.7
12,13,ISHT 75,15.3,19.49,75.0,150.0,9.0,8.4,1.62,96.2,230.2,2.22,3.44,16.4,30.1
13,14,ISHT 100,20.0,25.47,100.0,200.0,9.0,7.8,1.91,193.8,497.3,2.76,4.42,24,49.3
14,15,ISHT 125,27.4,34.85,125.0,250.0,9.7,8.8,2.37,415.4,1005.8,3.45,5.37,41,79.9
15,16,ISHT 150,29.4,37.42,150.0,250.0,10.6,7.6,2.66,573.7,1096.8,3.92,5.41,46.5,87.7
17,18,ISST 100,8.1,10.37,100.0,50.0,10.0,5.8,3.03,99,9.6,3.09,0.96,14.2,3.8
18,19,ISST 150,15.7,19.96,150.0,75.0,11.6,8.0,4.75,450.2,37,4.75,1.36,43.9,9.9
19,20,ISST 200,28.4,36.22,200.0,165.0,12.5,8.0,4.78,1267.8,358.2,5.92,3.15,83.3,43.4
20,21,ISST 250,37.5,47.75,250.0,180.0,14.1,9.2,6.4,2774.4,532,7.62,3.34,149.2,59.1
22,23,ISLT 50,4.0,5.11,50.0,50.0,6.4,4.0,1.19,9.9,6.4,1.39,1.12,2.6,2.5
23,24,ISLT 75,7.1,9.04,75.0,80.0,6.8,4.8,1.72,41.9,27.6,2.15,1.75,7.2,6.9
24,25,ISLT 100,12.7,16.16,100.0,100.0,10.8,5.7,2.13,116.6,75,2.69,2.15,14.8,15
26,27,ISJT 75,3.5,4.5,75.0,50.0,4.6,3.0,2.0,24.8,4.6,2.35,1.01,4.5,1.8
27,28,ISJT 87.5,4.0,5.14,87.5,50.0,4.8,3.2,2.5,39,4.8,2.75,0.97,6.2,1.9
28,29,ISJT 100,5.0,6.32,100.0,60.0,5.0,3.4,2.81,63.5,8.6,3.17,1.17,8.8,2.9
29,30,ISJT 112.5,6.4,8.14,112.5,80.0,5.0,3.7,3.01,101.6,20.2,3.53,1.58,12.3,5.1
