id,sec,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
1,WPB 800x300x,317.35,814,303,21,40,30,,,,,,,,,,,,,,,,
2,WPB 700x300x,300.67,716,304,21,40,27,,,,,,,,,,,,,,,,
3,WPB 650x300x,293.38,668,305,21,40,27,,,,,,,,,,,,,,,,
4,WPB 900x300x,291.45,900,300,18.5,35,30,,,,,,,,,,,,,,,,
5,WPB 600x300x,285.47,620,305,21,40,27,,,,,,,,,,,,,,,,
6,WPB 280x280x,284.13,280,280,105,18,24,,,,,,,,,,,,,,,,
7,WPB 550x300x,278.19,572,306,21,40,27,,,,,,,,,,,,,,,,
8,WPB 500x300x,270.27,524,306,21,40,27,,,,,,,,,,,,,,,,
9,WPB 450x300x,263.32,478,307,21,40,27,,,,,,,,,,,,,,,,
10,WPB 800x300x,262.33,800,300,17.5,33,30,,,,,,,,,,,,,,,,
11,WPB 400x300x,255.74,432,307,21,40,27,,,,,,,,,,,,,,,,
12,WPB 850x300x,253.68,859,292,17,30.8,30,,,,,,,,,,,,,,,,
13,WPB 900x300x,251.61,890,300,16,30,30,,,,,,,,,,,,,,,,
14,WPB 360x300x,250.26,395,308,21,40,27,,,,,,,,,,,,,,,,
15,WPB 340x300x,247.92,377,309,21,40,27,,,,,,,,,,,,,,,,
16,WPB 320x300x,244.96,359,309,21,40,27,,,,,,,,,,,,,,,,
17,WPB 700x300x,240.51,700,300,17,32,27,,,,,,,,,,,,,,,,
18,WPB 400x400x,239.62,380,395,18.9,30.2,27,,,,,,,,,,,,,,,,
19,WPB 300x300x,237.92,340,310,21,39,27,,,,,,,,,,,,,,,,
20,WPB 850x300x,230.55,851,294,16.1,26.8,30,,,,,,,,,,,,,,,,
21,WPB 650x300x,224.78,650,300,16,31,27,,,,,,,,,,,,,,,,
22,WPB 800x300x,224.37,790,300,15,28,30,,,,,,,,,,,,,,,,
