id,section,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
1,180.0 x 180.0 x 8.0,42.50,180.0,180.0,8.0,8.0,,,11.25,22.5,26.33,26.33,6.98,6.98,346,346,293,293,,,,,54.10
2,180.0 x 180.0 x 6.0,32.05,180.0,180.0,6.0,6.0,,,15,30,2036,2036,7.06,7.06,280,280,226,226,,,,,40.83
3,180.0 x 180.0 x 5.0,27.20,180.0,180.0,5.0,5.0,,,18,36,1755,1755,7.12,7.12,226,226,195,195,,,,,34.60
4,150.0 x 150.0 x 6.0,26.40,150.0,150.0,6.0,6.0,,,12.5,25,1145.91,1145.91,5.84,5.84,179.88,179.88,152.79,152.79,,,,,33.63
5,132.0 x 132.0 x 6.0,23.01,132.0,132.0,6.0,6.0,,,11,22,762.98,762.98,5.10,5.10,136.98,136.98,115.60,115.60,,,,,29.31
6,150.0 x 150.0 x 5.0,22.26,150.0,150.0,5.0,5.0,,,15,30,982.12,982.12,5.89,5.89,152.98,152.98,130.95,130.95,,,,,28.36
7,180.0 x 180.0 x 4.0,21.90,180.0,180.0,4.0,4.0,,,22.5,45,1434,1434,7.17,7.17,184,184,159,159,,,,,27.90
8,125.0 x 125.0 x 6.0,21.69,125.5,125.5,6.0,6.0,,,10.4583333333333,20.9166666666667,640.89,640.89,4.82,4.82,121.87,121.87,102.54,102.54,,,,,27.63
9,132.0 x 132.0 x 5.4,20.88,132.0,132.0,5.4,5.4,,,12.2222222222222,24.4444444444444,700.11,700.11,5.13,5.13,125.02,125.02,106.08,106.08,,,,,26.59
10,172.0x92.0x5.4,20.88,172.0,92.0,5.4,5.4,,,8.51851851851852,31.8518518518519,1012.47,381.74,6.17,3.79,146.55,94.86,117.73,82.99,,,,,26.59
11,113.5 x 113.5 x 6.0,19.53,113.5,113.5,6.0,6.0,,,9.45833333333333,18.9166666666667,479.81,479.81,4.35,4.35,98.96,98.96,82.79,82.79,,,,,24.87
12,132.0 x 132.0 x 4.8,18.71,132.0,132.0,4.8,4.8,,,13.75,27.5,634.39,634.39,5.16,5.16,112.69,112.69,96.12,96.12,,,,,23.83
13,172.0x92.0x4.8,18.71,172.0,92.0,4.8,4.8,,,9.58333333333333,35.8333333333333,917.13,346.91,6.20,3.82,132.08,85.61,106.64,75.41,,,,,23.83
14,125.0 x 125.0 x 5.0,18.33,125.0,125.0,5.0,5.0,,,12.5,25,552.62,552.62,4.86,4.86,104.10,104.10,88.42,88.42,,,,,23.36
15,113.5 x 113.5 x 5.4,17.74,113.5,113.5,5.4,5.4,,,10.5092592592593,21.0185185185185,432.58,432.58,4.38,4.38,90.55,90.55,76.23,76.23,,,,,22.60
16,145.0x82.0x5.4,17.74,145.0,82.0,5.4,5.4,,,7.59259259259259,26.8518518518519,610.85,250.59,5.20,3.33,105.07,70.66,84.26,61.12,,,,,21.60
17,100.0 x 100.0 x 6.0,16.98,100.0,100.0,6.0,6.0,,,8.33333333333333,16.6666666666667,311.47,311.47,3.79,3.79,75.10,75.10,62.29,62.29,,,,,21.63
18,125.0 x 125.0 x 4.5,16.62,125.0,125.0,4.5,4.5,,,13.8888888888889,27.7777777777778,505.83,505.83,4.89,4.89,94.84,94.84,80.93,80.93,,,,,21.17
19,113.5 x 113.5 x 4.8,15.92,113.5,113.5,4.8,4.8,,,11.8229166666667,23.6458333333333,393.31,393.31,4.0,4.0,81.81,81.81,69.30,69.30,,,,,20.28
20,145.0x82.0x4.8,15.92,145.0,82.0,4.8,4.8,,,8.54166666666667,30.2083333333333,555.16,228.50,5.23,3.36,94.93,63.93,76.57,55.73,,,,,20.28
21,113.5 x 113.5 x 4.5,14.99,113.5,113.5,4.5,4.5,,,12.6111111111111,25.2222222222222,372.88,372.88,4.42,4.42,77.33,77.33,65.71,65.71,,,,,19.10
22,100.0 x 100.0 x 5.0,14.41,100.0,100.0,5.0,5.0,,,10,20,271.10,271.10,3.84,3.84,64.59,64.59,54.22,54.22,,,,,18.36
23,91.5 x 91.5 x 5.4,14.01,91.5,91.5,5.4,5.4,,,8.47222222222222,16.9444444444444,215.68,215.68,3.48,3.48,56.77,56.77,47.14,47.14,,,,,17.85
24,122.0x61.0x5.4,14.01,122.0,61.0,5.4,5.4,,,5.64814814814815,22.5925925925926,320.83,107.03,4.24,2.45,67.29,41.22,52.60,35.09,,,,,17.85
25,88.9 x 88.9 x 4.9,12.44,88.9,88.9,4.9,4.9,,,9.07142857142857,18.1428571428571,182.57,182.57,3.39,3.39,49.23,49.23,41.07,41.07,,,,,15.85
26,91.5 x 91.5 x 4.5,11.88,91.5,91.5,4.5,4.5,,,10.1666666666667,20.3333333333333,187.57,187.57,3.52,3.52,48.79,48.79,41.00,41.00,,,,,15.14
27,122.0x61.0x4.5,11.88,122.0,61.0,4.5,4.5,,,6.77777777777778,27.1111111111111,278.94,93.78,4.29,2.49,57.85,35.56,45.73,30.75,,,,,15.14
28,100.0 x 100.0 x 4.0,11.73,100.0,100.0,4.0,4.0,,,12.5,25,226.35,226.35,3.89,3.89,53.30,53.30,45.27,45.27,,,,,14.95
