ID,SECTION,AREA,H,B,IXX,IYY,ZXX,ZYY
1,15 NB: 21.3x2.0 Dimensions,121,21.3,21.3,5700,5700,747.65,747.65
2,15 NB: 21.3x2.6 Dimensions,153,21.3,21.3,6800,6800,915.05,915.05
3,15 NB: 21.3x3.2 Dimensions,182,21.3,21.3,7700,7700,1059.27,1059.27
4,20 NB: 26.9x2.3 Dimensions,178,26.9,26.9,13600,13600,1395.92,1395.92
5,20 NB: 26.9x2.6 Dimensions,198,26.9,26.9,14800,14800,1541.13,1541.13
6,20 NB: 26.9x3.2 Dimensions,238,26.9,26.9,17000,17000,1808.33,1808.33
7,25 NB: 33.7x2.6 Dimensions,254,33.7,33.7,30900,30900,2520.6,2520.6
8,25 NB: 33.7x3.2 Dimensions,307,33.7,33.7,36000,36000,2987.72,2987.72
9,25 NB: 33.7x4.0 Dimensions,373,33.7,33.7,41900,41900,3549.69,3549.69
10,32 NB: 42.4x2.6 Dimensions,325,42.4,42.4,64600,64600,4124.36,4124.36
11,32 NB: 42.4x3.2 Dimensions,394,42.4,42.4,76200,76200,4928.17,4928.17
12,32 NB: 42.4x4.0 Dimensions,483,42.4,42.4,89900,89900,5919.57,5919.57
13,40 NB: 48.3x2.9 Dimensions,414,48.3,48.3,107000,107000,5985.49,5985.49
14,40 NB: 48.3x3.2 Dimensions,453,48.3,48.3,115900,115900,6519.75,6519.75
15,40 NB: 48.3x4.0 Dimensions,557,48.3,48.3,137700,137700,7871.29,7871.29
16,50 NB: 60.3x2.9 Dimensions,523,60.3,60.3,215900,215900,9562.93,9562.93
17,50 NB: 60.3x3.6 Dimensions,641,60.3,60.3,258700,258700,11589.16,11589.16
18,50 NB: 60.3x4.5 Dimensions,789,60.3,60.3,309000,309000,14041.76,14041.76
19,65 NB: 76.1x2.9 Dimensions,667,76.1,76.1,447400,447400,15547.03,15547.03
20,65 NB: 76.1x3.6 Dimensions,820,76.1,76.1,540100,540100,18938.05,18938.05
21,65 NB: 76.1x4.5 Dimensions,1012,76.1,76.1,651200,651200,23099.9,23099.9
22,80 NB: 88.9x3.2 Dimensions,862,88.9,88.9,792100,792100,23513.29,23513.29
23,80 NB: 88.9x4.0 Dimensions,1067,88.9,88.9,963400,963400,28853.37,28853.37
24,80 NB: 88.9x4.8 Dimensions,1268,88.9,88.9,1124900,1124900,33986.35,33986.35
25,90 NB: 101.6x3.6 Dimensions,1108,101.6,101.6,1332400,1332400,34589.95,34589.95
26,90 NB: 101.6x4.0 Dimensions,1226,101.6,101.6,1462800,1462800,38124.37,38124.37
27,90 NB: 101.6x4.8 Dimensions,1460,101.6,101.6,1713900,1713900,45014.02,45014.02
28,100 NB: 114.3x3.6 Dimensions,1252,114.3,114.3,1919800,1919800,44131.72,44131.72
29,100 NB: 114.3x4.5 Dimensions,1552,114.3,114.3,2343200,2343200,54282.56,54282.56
30,100 NB: 114.3x5.4 Dimensions,1847,114.3,114.3,2745400,2745400,64092.22,64092.22
31,110 NB: 127x4.5 Dimensions,1732,127,127,3252900,3252900,67558.5,67558.5
32,110 NB: 127x4.8 Dimensions,1843,127,127,3445000,3445000,71714.5,71714.5
33,110 NB: 127x5.4 Dimensions,2063,127,127,3820400,3820400,79899.91,79899.91
34,125 NB: 139.7x4.5 Dimensions,1911,139.7,139.7,4372000,4372000,82286.05,82286.05
35,125 NB: 139.7x4.8 Dimensions,2034,139.7,139.7,4633300,4633300,87387.31,87387.31
36,125 NB: 139.7x5.4 Dimensions,2278,139.7,139.7,5145000,5145000,97449.53,97449.53
37,135 NB: 152.4x4.5 Dimensions,2091,152.4,152.4,5722400,5722400,98465.22,98465.22
38,135 NB: 152.4x4.8 Dimensions,2226,152.4,152.4,6067600,6067600,104608.51,104608.51
39,135 NB: 152.4x5.4 Dimensions,2494,152.4,152.4,6745100,6745100,116741.09,116741.09
40,150 NB: 165.1x4.5 Dimensions,2270,165.1,165.1,7325700,7325700,116096,116096
41,150 NB: 165.1x4.8 Dimensions,2417,165.1,165.1,7771300,7771300,123378.1,123378.1
42,150 NB: 165.1x5.4 Dimensions,2709,165.1,165.1,8647000,8647000,137774.57,137774.57
43,150 NB: 165.1x5.9 Dimensions,2950,165.1,165.1,9700000,9700000,149601.84,149601.84
