Shape,Area (mm2),Depth (mm),Width (mm),Ix (mm4),Iy (mm4),Plastic Mod Xp (mm3),Plastic Mod Yp (mm3)
50.0x25.0x2.9 Dimensions,380,50,25,109300,36000,5720,3480
50.0x25.0x3.2 Dimensions,413,50,25,116300,38000,6140,3730
60.0x40.0x2.9 Dimensions,525,60,40,247400,131100,10250,7730
66.0x33.0x2.9 Dimensions,519,66,33,273300,91200,10590,6490
66.0x33.0x3.6 Dimensions,628,66,33,318700,105200,12560,7660
66.0x33.0x4.5 Dimensions,758,66,33,366400,119300,14770,8940
70.0x30.0x2.9 Dimensions,525,70,30,298200,77200,11070,6040
70.0x30.0x3.2 Dimensions,573,70,30,320400,82400,11980,6510
70.0x30.0x4.0 Dimensions,695,70,30,372300,94200,14200,7660
80.0x40.0x2.9 Dimensions,641,80,40,508700,171100,16070,9880
80.0x40.0x3.2 Dimensions,701,80,40,549400,184100,17460,10720
80.0x40.0x4.0 Dimensions,855,80,40,647900,214900,20910,12770
96.0x48.0x3.2 Dimensions,854,96,48,986100,332800,25850,15910
96.0x48.0x4.0 Dimensions,1047,96,48,1175400,393200,31210,19140
96.0x48.0x4.8 Dimensions,1231,96,48,1343500,445500,36130,22080
100.0x50.0x3.2 Dimensions,893,100,50,1122900,379500,28200,17370
100.0x50.0x4.0 Dimensions,1095,100,50,1341400,449500,34100,20930
122.0x61.0x3.6 Dimensions,1232,122,61,2326100,788300,47710,29420
122.0x61.0x4.5 Dimensions,1514,122,61,2789400,937800,57850,35560
122.0x61.0x5.4 Dimensions,1785,122,61,3208300,1070300,67290,41220
127.0x50.0x3.6 Dimensions,1189,127,50,2270800,520500,45950,23700
127.0x50.0x4.6 Dimensions,1489,127,50,2763300,624600,56660,29040
145.0x82.0x4.8 Dimensions,2028,145,82,5551600,2285000,94930,63930
145.0x82.0x5.4 Dimensions,2260,145,82,6108500,2505900,105070,70660
172.0x92.0x4.8 Dimensions,2383,172,92,9171300,3469100,132080,85610
172.0x92.0x5.4 Dimensions,2659,172,92,10100000,3817400,146550,94860
25.0x25.0x2.6 Dimensions,216,25,25,17200,17200,1760,1760
25.0x25.0x3.2 Dimensions,253,25,25,18900,18900,1980,1980
30.0x30.0x2.6 Dimensions,268,30,30,32300,32300,2680,2680
30.0x30.0x3.2 Dimensions,317,30,30,36200,36200,3080,3080
30.0x30.0x4.0 Dimensions,375,30,30,39700,39700,3500,3500
32.0x32.0x2.6 Dimensions,288,32,32,40200,40200,3110,3110
32.0x32.0x3.2 Dimensions,342,32,32,45400,45400,3590,3590
32.0x32.0x4.0 Dimensions,407,32,32,50200,50200,4110,4110
35.0x35.0x2.6 Dimensions,320,35,35,54300,54300,3810,3810
35.0x35.0x3.2 Dimensions,381,35,35,61800,61800,4420,4420
35.0x35.0x4.0 Dimensions,455,35,35,69300,69300,5110,5110
38.0x38.0x2.6 Dimensions,351,38,38,71400,71400,4570,4570
38.0x38.0x2.9 Dimensions,386,38,38,76800,76800,4970,4970
38.0x38.0x3.2 Dimensions,419,38,38,81800,81800,5340,5340
38.0x38.0x3.6 Dimensions,462,38,38,87600,87600,5800,5800
38.0x38.0x4.0 Dimensions,503,38,38,92600,92600,6220,6220
40.0x40.0x2.6 Dimensions,372,40,40,84500,84500,5120,5120
40.0x40.0x3.2 Dimensions,445,40,40,91200,91200,6010,6010
40.0x40.0x3.6 Dimensions,491,40,40,104500,104500,6530,6530
40.0x40.0x4.0 Dimensions,535,40,40,110700,110700,7010,7010
45.0x45.0x2.6 Dimensions,424,45,45,124700,124700,6640,6640
45.0x45.0x2.9 Dimensions,467,45,45,134500,134500,7250,7250
45.0x45.0x3.2 Dimensions,509,45,45,144100,144100,7830,7830
45.0x45.0x3.6 Dimensions,563,45,45,155700,155700,8550,8550
45.0x45.0x4.5 Dimensions,677,45,45,177400,177400,9990,9990
49.5x49.5x2.9 Dimensions,519,49.5,49.5,183700,183700,8930,8930
49.5x49.5x3.6 Dimensions,628,49.5,49.5,214200,214200,10600,10600
49.5x49.5x4.5 Dimensions,758,49.5,49.5,246400,246400,12470,12470
63.5x63.5x3.2 Dimensions,745,63.5,63.5,443500,443500,16650,16650
63.5x63.5x3.6 Dimensions,829,63.5,63.5,485500,485500,18360,18360
63.5x63.5x4.5 Dimensions,1010,63.5,63.5,570000,570000,21930,21930
72.0x72.0x3.2 Dimensions,854,72,72,663200,663200,21800,21800
72.0x72.0x4.0 Dimensions,1047,72,72,790300,790300,26320,26320
72.0x72.0x4.8 Dimensions,1231,72,72,903100,903100,30490,30490
75.0x75.0x3.2 Dimensions,893,75,75,755300,755300,23790,23790
