Name,Shape,Depth,WidthTop,ThickTop,ThickWeb,WidthBot,ThickBot,Area,"Wt 
ton/m","Wt 
KN/m",Jt,Ixx,Iyy,ArShrXX,ArShrYY,SecModXX,SecModYY,PlasModXX,PlasModYY,rxx,ryy,"Section
Name",L
ISA100X100X10,Angle,100,100,10,10,0,0,1903,0.015,0.149,63333," 17,70,000 "," 17,70,000 ",1000,1000,24721,24721,24700,24700,30.5,30.5,ISA100X100X10,475.4456893
ISA100X100X12,Angle,100,100,12,12,0,0,2259,0.018,0.177," 1,08,288 "," 20,70,000 "," 20,70,000 ",1200,1200,29237,29237,29200,29200,30.27,30.27,ISA100X100X12,
ISA100X100X6,Angle,100,100,6,6,0,0,1167,0.009,0.092,13968," 11,13,000 "," 11,13,000 ",600,600,15184,15184,15200,15200,30.88,30.88,ISA100X100X6,
ISA100X100X8,Angle,100,100,8,8,0,0,1539,0.012,0.121,32768," 14,51,000 "," 14,51,000 ",800,800,20041,20041,20000,20000,30.71,30.71,ISA100X100X8,
ISA100X65X10,Angle,100,65,10,10,0,0,1551,0.012,0.122,51667," 15,32,000 "," 5,07,000 ",1000,650,18303,15045,23100,10400,31.43,18.08,ISA100X65X10,
ISA100X65X6,Angle,100,65,6,6,0,0,955,0.007,0.075,11448," 9,67,000 "," 3,24,000 ",600,390,11336,9789,14200,6400,31.82,18.42,ISA100X65X6,
ISA100X65X8,Angle,100,65,8,8,0,0,1257,0.01,0.099,26761," 12,59,000 "," 4,19,000 ",800,518.4,14899,12774,18700,8500,31.65,18.26,ISA100X65X8,
ISA100X75X10,Angle,100,75,10,10,0,0,1650,0.013,0.13,55000," 16,04,000 "," 7,69,000 ",1000,750,19925,17842,23600,13800,31.18,21.59,ISA100X75X10,
ISA100X75X12,Angle,100,75,12,12,0,0,1956,0.015,0.154,93888," 18,75,000 "," 8,95,000 ",1200,900,23526,21158,27900,16300,30.96,21.39,ISA100X75X12,
ISA100X75X6,Angle,100,75,6,6,0,0,1014,0.008,0.08,12168," 10,09,000 "," 4,87,000 ",600,450,12275,10846,14400,8500,31.54,21.92,ISA100X75X6,
