id,sec,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area,Shape
343,ISWB600-2,145.115100785,600,250,23.6,11.8,,,,,115626.60156,5298.299805,708.00003,983.33336,3854.220052,423.8639844,3854.199951,423.8999939,,,,2493.4654236,184.860001,I
342,ISWB600-1,133.748303925,600,250,21.3,11.2,,,,,106198.5,4702.5,671.99997,887.5,3539.95,376.2,3540,376.2000122,,,,1871.6351318,170.380005,I
341,ISMB600,122.624855495,600,210,20.8,12,,,,,91813,2651,720,728.00003,3060.4333333,252.4761905,3060.3999023,252.5,,,,1581.4860535,156.210007,I
340,ISWB550,112.490502355,550,250,17.6,10.5,,,,,74906.10156,3740.600098,577.5,733.33336,2723.8582386,299.2480078,2723.8999023,299.2000122,,,,1107.2777557,143.300003,I
339,ISMB550,103.706350785,550,190,19.3,11.2,,,,,64893.60156,1833.8000488,615.99998,611.16665,2359.7673295,193.0315841,2359.8000488,193,,,,1150.1072693,132.110001,I
338,ISLB600,99.45165157,600,210,15.5,10.5,,,,,72867.60156,1821.9000244,630,542.5,2428.9200521,173.514288,2428.8999023,173.5,,,,740.9053802,126.690002,I
337,ISWB500,95.157700785,500,250,14.7,9.9,,,,,52290.89844,2987.8000488,495,612.5,2091.6359375,239.0240039,2091.6000977,239,,,,681.6280365,121.220001,I
336,ISHB450-2,92.543649215,450,250,13.7,11.3,,,,,40349.89844,3045,508.49998,570.83332,1793.3288194,243.6,1793.3000488,242.1000061,,,,631.8149185,117.889999,I
335,ISHB450-1,87.244899215,450,250,13.7,9.8,,,,,39210.80078,2965.1999512,440.99998,570.83332,1742.7022569,237.2159961,1742.6999512,238.8000031,,,,561.1413956,111.139999,I
334,ISMB500,86.93089843,500,180,17.2,10.2,,,,,45218.30078,1369.8000488,510,515.99998,1808.7320313,152.2000054,1808.6999512,152.1999969,,,,775.3132629,110.739998,I
333,ISLB550,86.326450785,550,190,15,9.9,,,,,53161.60156,1335.0999756,544.50001,475,1933.1491477,140.5368395,1933.1999512,140.5,,,,595.6851578,109.970001,I
332,ISHB400-2,82.15810314,400,250,12.7,10.6,,,,,28823.5,2783,424.00002,529.16668,1441.175,222.64,1444.1999512,221.3000031,,,,490.1153564,104.660004,I
331,ISWB450,79.40275157,450,200,15.4,9.2,,,,,35057.60156,1706.6999512,414.00002,513.33332,1558.115625,170.6699951,1558.0999756,170.6999969,,,,595.7772064,101.150002,I
330,ISHB400-1,77.44810314,400,250,12.7,9.1,,,,,28083.5,2728.3000488,364.00002,529.16668,1404.175,218.2640039,1404.1999512,218.3000031,,,,435.4930496,98.660004,I
329,ISLB500,74.9675,500,180,14.1,9.2,,,,,38579,1063.9000244,460,422.99999,1543.16,118.2111138,1543.1999512,118.1999969,,,,458.8481903,95.5,I
328,ISA200X200X25,73.633002355,200,200,25,25,,,,,3436.300049,3436.300049,500,500,243.3640281,243.3640281,243.3000031,243.3000031,,,,1953.125,93.800003,angle
327,ISMB450,72.431947645,450,150,17.4,9.4,,,,,30390.800781,834,422.99999,435,1350.7022569,111.2,350.7000122,111.1999969,,,,641.7552185,92.269997,I
326,ISHB350-2,72.384849215,350,250,11.6,10.1,,,,,19802.800781,2510.5,353.49998,483.33332,1131.5886161,200.84,1131.5999756,199.3999939,,,,372.383461,92.209999,I
325,ISNB350H,68.530502355,355.6,0,0,8,,,,,13111,13111,452.21203,452.21203,737.4015463,737.4015463,737,737,,,,262220,87.300003,pipe
324,ISHB350-1,67.43935314,350,250,11.6,8.3,,,,,19159.699219,2451.3999023,290.49999,483.33332,1094.8399554,196.1119922,1094.8000488,196.1000061,,,,322.4359894,85.910004,I
323,ISWB400,66.73285157,400,200,13,8.6,,,,,23426.699219,1388,344.00002,433.33332,1171.3349609,138.8,1171.3000488,138.8000031,,,,372.2283173,85.010002,I
322,ISLB450,65.264899215,450,170,13.4,8.6,,,,,27536.099609,853,387.00001,379.66667,1223.8266493,100.3529412,1223.8000488,100.4000015,,,,362.4180984,83.139999,I
321,ISHB300-2,62.99625,300,250,10.6,9.4,,,,,12950.200195,2246.6999512,282.00001,441.66668,863.3466797,179.7359961,863.2999878,178.3999939,,,,275.6916046,80.25,I
320,ISMB400,61.591099215,400,140,16,8.9,,,,,20458.400391,622.0999756,355.99998,373.33332,1022.9200195,88.8714251,22.8999996,88.9000015,,,,468.7695313,78.459999,I
319,ISHB300-1,58.75724843,300,250,10.6,7.6,,,,,12545.200195,2193.6000977,227.99999,441.66668,836.3466797,175.4880078,836.2999878,175.5,,,,239.298172,74.849998,I
318,ISWB350,56.9125,350,200,11.4,8,,,,,15521.700195,1175.9000244,280,380,886.9542969,117.5900024,887,117.5999985,,,,253.3813286,72.5,I
317,ISLB400,56.85755,400,165,12.5,8,,,,,19306.300781,716.4000244,320,343.75,965.3150391,86.8363666,965.2999878,86.8000031,,,,278.8437462,72.43,I
316,ISHB250-2,54.722349215,250,250,9.7,8.8,,,,,7983.899902,2011.6999512,220,404.16668,638.7119922,160.9359961,6387,1597,,,,204.494648,69.709999,I
